#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-06-20T17:16:56.707198Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2081	23.2149
H_R2H0_P2	124.2145	25.8713
PB_P1	81.8945	10.5122
PB_P2	122.3798	1.0970
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.0998	28.8753	-0.0023
Sensor	1	19.1301	28.0576	0.0015
Sensor	1	29.1671	27.4042	0.0011
Sensor	1	39.2143	26.9166	0.0029
Sensor	1	49.2694	26.5942	-0.0013
Sensor	1	59.3301	26.4378	0.0004
Sensor	1	69.3884	26.4489	-0.0034
Sensor	1	79.4456	26.6222	-0.0023
Sensor	1	89.4984	26.9628	0.0033
Sensor	1	99.5478	27.4707	0.0004
Sensor	1	109.5841	28.1421	0.0002
Sensor	1	119.6085	28.9799	-0.0004
ABC_R2H0_0	2	120.0110	24.1927	0.3762
ABC_R2H0_0_A	2	124.2158	25.8591	0.3667
ABC_R2H0_0_B	2	124.5091	23.3268	0.3789
ABC_R2H0_0_C	2	115.7298	22.5372	0.3850
ABC_R2H0_0_D	2	115.5891	25.0477	0.3742
ABC_R2H0_1	2	109.9277	23.3330	0.3859
ABC_R2H0_10	2	18.8325	23.2490	0.3941
ABC_R2H0_10_A	2	23.2510	24.1993	0.3916
ABC_R2H0_10_B	2	23.1509	21.6369	0.4003
ABC_R2H0_10_C	2	14.3390	22.3165	0.3977
ABC_R2H0_10_D	2	14.5891	24.8431	0.3867
ABC_R2H0_11	2	8.7136	24.0723	0.4070
ABC_R2H0_11_A	2	13.1499	24.9600	0.3957
ABC_R2H0_11_B	2	12.9964	22.3669	0.4007
ABC_R2H0_11_C	2	4.1985	23.2082	0.4243
ABC_R2H0_11_D	2	4.5097	25.7541	0.4073
ABC_R2H0_1_A	2	114.1507	24.9359	0.3797
ABC_R2H0_1_B	2	114.4126	22.3777	0.3869
ABC_R2H0_1_C	2	105.6156	21.7457	0.3972
ABC_R2H0_1_D	2	105.5320	24.2728	0.3796
ABC_R2H0_2	2	99.8318	22.6586	0.3878
ABC_R2H0_2_A	2	104.0793	24.1910	0.3828
ABC_R2H0_2_B	2	104.2973	21.6147	0.3929
ABC_R2H0_2_C	2	95.4887	21.1289	0.3912
ABC_R2H0_2_D	2	95.4619	23.6999	0.3843
ABC_R2H0_3	2	89.7309	22.1641	0.3914
ABC_R2H0_3_A	2	93.9949	23.6119	0.3877
ABC_R2H0_3_B	2	94.1917	21.0722	0.3952
ABC_R2H0_3_C	2	85.3660	20.7008	0.3962
