#---Header				
EC or Barrel: EC				
Module type: R2				
Module ref. Number: 20USEM2000023				
Date: 2022-06-23T22:23:29.614423Z				
Institute: SFU				
Operator: Archa Rajagopalan				
Instrument Type: Smartscope Flash 302				
Run Number: 3				
Measurement program version: v1				
#---Positions				
#Location	X[mm]	Y[mm]		
H_R2H0_P1	4.2085	23.2156		
H_R2H0_P2	124.2142	25.8718		
PB_P1	81.8947	10.5125		
PB_P2	122.3807	1.0966		
#---Glue heights:				
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.0992	28.8761	-0.0022
Sensor	1	19.1298	28.0566	0.0021
Sensor	1	29.1681	27.4039	-0.0004
Sensor	1	39.2136	26.9151	-0.0008
Sensor	1	49.2701	26.593	0.0036
Sensor	1	59.3276	26.4381	0.0013
Sensor	1	69.3883	26.4483	-0.0015
Sensor	1	79.447	26.6206	-0.0043
Sensor	1	89.4995	26.9619	0.0022
Sensor	1	99.5456	27.4697	-0.0016
Sensor	1	109.584	28.1424	0.0006
Sensor	1	119.6094	28.9783	0.0009
ABC_R2H0_0	2	120.0222	24.193	0.387
ABC_R2H0_0_A	2	124.2268	25.8591	0.3723
ABC_R2H0_0_B	2	124.5199	23.3275	0.3879
ABC_R2H0_0_C	2	115.7418	22.5374	0.4054
ABC_R2H0_0_D	2	115.6002	25.048	0.3823
ABC_R2H0_1	2	109.9387	23.3325	0.3893
ABC_R2H0_10	2	18.8432	23.2467	0.4098
ABC_R2H0_10_A	2	23.2602	24.1972	0.4052
ABC_R2H0_10_B	2	23.1624	21.6337	0.4158
ABC_R2H0_10_C	2	14.3497	22.3138	0.4162
ABC_R2H0_10_D	2	14.6004	24.8419	0.4021
ABC_R2H0_11	2	8.7257	24.0695	0.4213
ABC_R2H0_11_A	2	13.1609	24.9579	0.4118
ABC_R2H0_11_B	2	13.0077	22.3644	0.4217
ABC_R2H0_11_C	2	4.2111	23.205	0.4377
ABC_R2H0_11_D	2	4.5231	25.7508	0.4139
ABC_R2H0_1_A	2	114.1634	24.9359	0.3839
ABC_R2H0_1_B	2	114.4224	22.377	0.3954
ABC_R2H0_1_C	2	105.6256	21.7461	0.3977
ABC_R2H0_1_D	2	105.5434	24.271	0.3801
ABC_R2H0_2	2	99.8439	22.6592	0.402
ABC_R2H0_2_A	2	104.0918	24.1911	0.3872
ABC_R2H0_2_B	2	104.3083	21.615	0.4133
ABC_R2H0_2_C	2	95.5009	21.1304	0.4134
ABC_R2H0_2_D	2	95.4747	23.7001	0.394
ABC_R2H0_3	2	89.7414	22.1648	0.4081
ABC_R2H0_3_A	2	94.005	23.6112	0.4008
ABC_R2H0_3_B	2	94.2026	21.0737	0.4145
ABC_R2H0_3_C	2	85.3778	20.7023	0.415
ABC_R2H0_3_D	2	85.3803	23.2719	0.402
ABC_R2H0_4	2	79.6176	21.8112	0.4044
ABC_R2H0_4_A	2	83.9206	23.2068	0.4058
ABC_R2H0_4_B	2	84.0484	20.606	0.4066
ABC_R2H0_4_C	2	75.2278	20.4322	0.408
ABC_R2H0_4_D	2	75.2735	22.9999	0.3972
ABC_R2H0_5	2	69.4895	21.6237	0.4008
ABC_R2H0_5_A	2	73.8048	22.9448	0.3968
ABC_R2H0_5_B	2	73.9136	20.3641	0.4071
ABC_R2H0_5_C	2	65.0809	20.3221	0.4047
ABC_R2H0_5_D	2	65.1589	22.8639	0.3945
ABC_R2H0_6	2	59.3645	21.6263	0.4034
ABC_R2H0_6_A	2	63.7066	22.8733	0.3989
ABC_R2H0_6_B	2	63.7651	20.2976	0.4068
ABC_R2H0_6_C	2	54.9324	20.3927	0.4104
ABC_R2H0_6_D	2	55.0539	22.9416	0.3975
ABC_R2H0_7	2	49.2279	21.7701	0.4014
ABC_R2H0_7_A	2	53.5847	22.9508	0.3975
ABC_R2H0_7_B	2	53.6011	20.3531	0.4088
ABC_R2H0_7_C	2	44.7747	20.6187	0.4091
ABC_R2H0_7_D	2	44.9512	23.1577	0.3904
ABC_R2H0_8	2	39.0981	22.0944	0.4005
ABC_R2H0_8_A	2	43.4786	23.1952	0.3912
ABC_R2H0_8_B	2	43.4496	20.6195	0.4021
ABC_R2H0_8_C	2	34.6306	21.0166	0.4084
ABC_R2H0_8_D	2	34.8336	23.5464	0.4004
ABC_R2H0_9	2	28.9725	22.5856	0.4122
ABC_R2H0_9_A	2	33.3726	23.6149	0.4002
ABC_R2H0_9_B	2	33.2926	21.0504	0.416
ABC_R2H0_9_C	2	24.4874	21.5721	0.4252
ABC_R2H0_9_D	2	24.7375	24.1047	0.4072
HCC_R2H0_2	2	22.6294	7.0062	0.4749
HCC_R2H0_2_A	2	25.4169	9.4194	0.4524
HCC_R2H0_2_B	2	25.716	4.7996	0.4834
HCC_R2H0_2_C	2	19.7431	4.6644	0.4988
HCC_R2H0_2_D	2	19.6418	9.1414	0.4649
HCC_R2H0_3	2	12.2455	11.6078	0.4569
HCC_R2H0_3_A	2	15.0431	14.0106	0.4413
HCC_R2H0_3_B	2	15.3315	9.4051	0.4682
HCC_R2H0_3_C	2	9.3455	9.271	0.4743
HCC_R2H0_3_D	2	9.262	13.7444	0.4438
H_R2H0_0	2	2.9136	10.6234	0.4566
H_R2H0_0_A	2	2.6333	8.2581	0.4751
H_R2H0_0_B	2	2.8738	9.7576	0.4644
H_R2H0_0_C	2	2.9508	10.9947	0.4478
H_R2H0_0_D	2	3.1966	13.4832	0.4388
H_R2H0_1	2	87.5358	12.8022	0.4853
H_R2H0_1_A	2	83.9167	12.6407	0.4909
H_R2H0_1_B	2	87.1545	12.7894	0.4877
