#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023Akmal
Date: 2022-08-11T22:24:03.367323Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 0
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9994	0.4976	-0.0193
Sensor	9.3513	-0.2674	-0.0092
Sensor	17.7092	-0.9258	-0.0031
Sensor	26.0721	-1.4725	-0.0021
Sensor	34.4442	-1.9141	-0.0038
Sensor	42.8221	-2.2433	-0.0015
Sensor	51.2022	-2.4629	0.0003
Sensor	59.5845	-2.5730	0.0016
Sensor	67.9678	-2.5734	0.0030
Sensor	76.3441	-2.5116	0.0089
Sensor	84.7308	-2.2448	0.0119
Sensor	93.1074	-1.9152	0.0163
Sensor	101.4814	-1.4746	0.0182
Sensor	109.8443	-0.9244	0.0131
Sensor	118.2001	-0.2680	0.0032
Sensor	126.5501	0.4989	-0.0122
Sensor	43.2782	6.4472	0.0099
Sensor	51.5516	6.2353	0.0080
Sensor	59.8285	6.1280	0.0113
Sensor	4.4892	29.2031	-0.0264
Sensor	12.4034	28.4880	-0.0102
Sensor	20.3992	27.8647	-0.0078
Sensor	28.4022	27.3479	-0.0031
Sensor	36.4111	26.9285	0.0032
Sensor	44.4188	26.6262	0.0003
Sensor	52.4249	26.4236	0.0007
Sensor	60.4356	26.3263	0.0079
Sensor	68.4447	26.3321	0.0048
Sensor	76.4516	26.4458	0.0024
Sensor	84.4523	26.6629	0.0053
Sensor	92.4456	26.9844	0.0026
Sensor	100.4340	27.4140	0.0012
Sensor	108.4166	27.9477	-0.0065
Sensor	116.3845	28.5856	-0.0200
Sensor	124.3436	29.3267	-0.0311
Sensor	5.1814	35.0751	-0.0295
Sensor	13.0953	34.3571	-0.0180
Sensor	20.9362	33.7528	-0.0054
Sensor	28.8618	33.2399	-0.0017
Sensor	36.7916	32.8338	0.0005
Sensor	44.7211	32.5296	0.0046
Sensor	52.6528	32.3278	0.0077
Sensor	60.5832	32.2349	0.0078
Sensor	68.5148	32.2422	0.0088
Sensor	76.4436	32.3582	0.0056
Sensor	84.3661	32.5721	0.0079
Sensor	92.2846	32.8970	0.0061
Sensor	100.1933	33.3204	0.0061
Sensor	108.0957	33.8517	-0.0056
Sensor	115.9884	34.4834	-0.0202
Sensor	123.8698	35.2217	-0.0277
Sensor	6.2047	43.7172	-0.0238
Sensor	14.0029	43.0129	-0.0158
Sensor	21.8104	42.4003	-0.0054
Sensor	29.5427	41.9169	0.0027
Sensor	37.3564	41.5170	0.0018
Sensor	45.1721	41.2233	0.0102
Sensor	52.9904	41.0269	0.0152
Sensor	60.8083	40.9382	0.0132
Sensor	68.6269	40.9493	0.0114
Sensor	76.4367	41.0615	0.0109
Sensor	84.2444	41.2823	0.0058
Sensor	92.0474	41.6020	0.0038
Sensor	99.8462	42.0226	0.0004
Sensor	107.6332	42.5456	-0.0074
Sensor	115.4107	43.1731	-0.0169
Sensor	123.2547	43.8921	-0.0272
Sensor	7.2286	52.3710	-0.0213
Sensor	14.9111	51.6761	-0.0086
Sensor	22.6029	51.0827	-0.0024
Sensor	30.3008	50.5903	0.0038
Sensor	37.9987	50.1987	0.0113
Sensor	45.6280	49.9228	0.0164
Sensor	53.3275	49.7328	0.0137
Sensor	61.0318	49.6486	0.0108
Sensor	68.7317	49.6591	0.0103
Sensor	76.4310	49.7747	0.0102
Sensor	84.1227	49.9926	0.0105
Sensor	91.8124	50.3090	0.0083
Sensor	99.4957	50.7279	-0.0011
Sensor	107.1660	51.2470	-0.0066
Sensor	114.9063	51.8575	-0.0194
Sensor	122.5590	52.5785	-0.0334
Sensor	8.2528	61.0159	-0.0165
Sensor	15.8202	60.3391	-0.0046
Sensor	23.3963	59.7597	0.0017
Sensor	30.9816	59.2826	0.0069
Sensor	38.5627	58.8968	0.0115
Sensor	46.1502	58.6133	0.0153
Sensor	53.7398	58.4319	0.0213
Sensor	61.3263	58.3492	0.0195
Sensor	68.9161	58.3603	0.0196
Sensor	76.4983	58.4825	0.0211
Sensor	84.0774	58.6968	0.0223
Sensor	91.6514	59.0153	0.0095
Sensor	99.2169	59.4317	0.0041
Sensor	106.7766	59.9390	-0.0035
Sensor	114.3256	60.5561	-0.0137
Sensor	121.8639	61.2701	-0.0211
