Feat. Type	X1	Y1	Z1
Sensor	0.999	0.5001	0.0021
Sensor	9.348	-0.2662	0.0065
Sensor	17.7061	-0.9242	0.0077
Sensor	26.0706	-1.4743	0.0067
Sensor	34.4427	-1.9135	0.0027
Sensor	42.8195	-2.2433	0.0017
Sensor	51.1998	-2.4632	0.0011
Sensor	59.583	-2.5729	0.0004
Sensor	67.966	-2.5735	-0.0013
Sensor	76.3487	-2.4656	0.0008
Sensor	84.7299	-2.2458	0.0058
Sensor	93.1077	-1.9151	0.0128
Sensor	101.4797	-1.4753	0.0164
Sensor	109.8424	-0.9271	0.0159
Sensor	118.2003	-0.27	0.0115
Sensor	126.547	0.5005	0.0065
Sensor	43.2675	6.4478	-0.0122
Sensor	43.2059	5.3558	-0.0131
Sensor	43.156	4.2651	-0.0164
Sensor	4.4431	29.2124	-0.0177
Sensor	12.4179	28.4856	-0.007
Sensor	20.3985	27.8644	0.0001
Sensor	28.3849	27.3484	-0.0009
Sensor	36.3765	26.9375	-0.0008
Sensor	44.3787	26.6314	-0.0004
Sensor	52.3817	26.4266	-0.0018
Sensor	60.3828	26.3322	-0.0029
Sensor	68.3867	26.3395	-0.0039
Sensor	76.3906	26.4512	-0.004
Sensor	84.392	26.6679	-0.0018
Sensor	92.3905	26.9926	-0.0013
Sensor	100.382	27.4192	-0.0033
Sensor	108.3696	27.9507	-0.0048
Sensor	116.3491	28.5885	-0.0095
Sensor	124.318	29.3305	-0.0158
Sensor	5.1465	35.0794	-0.0131
Sensor	13.0458	34.365	-0.0087
Sensor	20.949	33.7519	-0.0015
Sensor	28.8621	33.2428	0.0003
Sensor	36.7732	32.8365	-0.0026
Sensor	44.6969	32.5339	-0.0003
Sensor	52.6206	32.3362	-0.0005
Sensor	60.5489	32.24	0.0009
Sensor	68.4747	32.2513	0.002
Sensor	76.3996	32.3637	-0.001
Sensor	84.324	32.5821	0.0017
Sensor	92.2455	32.9025	-0.0022
Sensor	100.1598	33.3277	-0.0016
Sensor	108.0679	33.8554	-0.003
Sensor	115.9712	34.4874	-0.01
Sensor	123.8624	35.2241	-0.0145
Sensor	6.1853	43.7186	-0.0105
Sensor	13.9717	43.0188	-0.0059
Sensor	21.7626	42.4171	0.0007
Sensor	29.5578	41.9176	0.0036
Sensor	37.3584	41.5196	0.003
Sensor	45.1689	41.2242	0.0049
Sensor	52.978	41.0311	0.0025
Sensor	60.79	40.9403	0.0064
Sensor	68.6051	40.9516	0.0041
Sensor	76.4155	41.0667	0.0059
Sensor	84.2254	41.2829	0.0034
Sensor	92.0318	41.603	0.0004
Sensor	99.832	42.0238	-0.0015
Sensor	107.6279	42.5494	-0.0038
Sensor	115.416	43.173	-0.0075
Sensor	123.1947	43.9004	-0.0161
Sensor	7.2186	52.3679	-0.0122
Sensor	14.8905	51.6808	-0.0048
Sensor	22.5652	51.0904	0.0038
Sensor	30.2494	50.6006	-0.0008
Sensor	37.9343	50.2115	0.0047
Sensor	45.6305	49.9233	0.0059
Sensor	53.3273	49.7357	0.0073
Sensor	61.0241	49.6477	0.0051
Sensor	68.7227	49.6613	0.0072
Sensor	76.4223	49.776	0.0042
Sensor	84.1155	49.9933	0.0034
Sensor	91.8111	50.3107	0.0008
Sensor	99.4948	50.7283	-0.0003
Sensor	107.1764	51.2466	-0.0034
Sensor	114.8503	51.8644	-0.0092
Sensor	122.5154	52.5848	-0.0152
Sensor	8.2573	61.019	-0.0054
Sensor	15.8159	60.3436	-0.0008
Sensor	23.3779	59.7646	0.0045
Sensor	30.9476	59.2844	0.0054
Sensor	38.5196	58.9037	0.0086
Sensor	46.1021	58.6232	0.0115
Sensor	53.6832	58.4397	0.0127
Sensor	61.2674	58.3567	0.0127
Sensor	68.8516	58.3736	0.0104
Sensor	76.4366	58.4891	0.0095
Sensor	84.0169	58.7052	0.011
Sensor	91.5943	59.0201	0.0064
Sensor	99.1678	59.4344	0.0056
Sensor	106.7346	59.9481	0.0023
Sensor	114.2961	60.5587	0.001
Sensor	121.8444	61.2716	-0.0073
