#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-08-09T23:20:41.282984Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 8091
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3500	-0.2679	-0.0282
Sensor	17.7070	-0.9266	-0.0129
Sensor	26.0715	-1.4755	-0.0058
Sensor	34.4437	-1.9150	0.0014
Sensor	42.8211	-2.2444	0.0073
Sensor	51.2005	-2.4645	0.0114
Sensor	59.5837	-2.5747	0.0146
Sensor	67.9668	-2.5755	0.0164
Sensor	76.3495	-2.4659	0.0208
Sensor	84.7296	-2.2459	0.0248
Sensor	93.1054	-1.9161	0.0250
Sensor	101.4782	-1.4764	0.0171
Sensor	109.8429	-0.9278	0.0036
Sensor	118.2008	-0.2694	-0.0176
Sensor	126.5478	0.4976	-0.0441
Sensor	43.2763	6.4497	0.0048
Sensor	51.5352	6.2355	0.0097
Sensor	59.8038	6.1292	0.0041
Sensor	4.4437	29.2107	-0.0620
Sensor	12.4165	28.4846	-0.0364
Sensor	20.3966	27.8637	-0.0194
Sensor	28.3834	27.3476	-0.0051
Sensor	36.3773	26.9357	0.0067
Sensor	44.3757	26.6290	0.0122
Sensor	52.3775	26.4264	0.0174
Sensor	60.3810	26.3294	0.0181
Sensor	68.3851	26.3378	0.0230
Sensor	76.3886	26.4502	0.0210
Sensor	84.3906	26.6681	0.0164
Sensor	92.3876	26.9904	0.0092
Sensor	100.3806	27.4172	0.0016
Sensor	108.3679	27.9503	-0.0142
Sensor	116.3466	28.5867	-0.0337
Sensor	124.3155	29.3282	-0.0588
Sensor	5.1480	35.0794	-0.0634
Sensor	13.0437	34.3639	-0.0360
Sensor	20.9474	33.7505	-0.0160
Sensor	28.8581	33.2407	-0.0102
Sensor	36.7740	32.8347	0.0059
Sensor	44.6943	32.5327	0.0168
Sensor	52.6194	32.3341	0.0247
Sensor	60.5453	32.2390	0.0266
Sensor	68.4721	32.2499	0.0291
Sensor	76.3974	32.3627	0.0244
Sensor	84.3212	32.5802	0.0217
Sensor	92.2422	32.9006	0.0119
Sensor	100.1575	33.3258	0.0017
Sensor	108.0665	33.8545	-0.0141
Sensor	115.9688	34.4865	-0.0355
Sensor	123.8620	35.2220	-0.0552
Sensor	6.1910	43.7199	-0.0538
Sensor	13.9713	43.0163	-0.0260
Sensor	21.7619	42.4144	-0.0140
Sensor	29.5570	41.9151	-0.0072
Sensor	37.3600	41.5173	0.0102
Sensor	45.1680	41.2222	0.0209
Sensor	52.9787	41.0293	0.0251
Sensor	60.7901	40.9388	0.0300
Sensor	68.6036	40.9514	0.0311
Sensor	76.4149	41.0653	0.0311
Sensor	84.2244	41.2824	0.0204
Sensor	92.0312	41.6014	0.0113
Sensor	99.8330	42.0223	-0.0002
Sensor	107.6275	42.5454	-0.0158
Sensor	115.4165	43.1712	-0.0360
Sensor	123.1932	43.8998	-0.0570
Sensor	7.2197	52.3696	-0.0599
Sensor	14.8883	51.6789	-0.0329
Sensor	22.5634	51.0886	-0.0050
Sensor	30.2459	50.5985	0.0050
Sensor	37.9355	50.2094	0.0129
Sensor	45.6284	49.9208	0.0243
Sensor	53.3249	49.7333	0.0292
Sensor	61.0228	49.6469	0.0349
Sensor	68.7210	49.6612	0.0340
Sensor	76.4194	49.7762	0.0287
Sensor	84.1140	49.9922	0.0221
Sensor	91.8073	50.3092	0.0088
Sensor	99.4940	50.7270	0.0033
Sensor	107.1757	51.2455	-0.0098
Sensor	114.8491	51.8638	-0.0317
Sensor	122.5138	52.5840	-0.0477
Sensor	8.2600	61.0200	-0.0309
Sensor	15.8151	60.3419	-0.0191
Sensor	23.3762	59.7627	-0.0004
Sensor	30.9442	59.2830	0.0117
Sensor	38.5201	58.9023	0.0251
Sensor	46.1000	58.6207	0.0341
Sensor	53.6813	58.4387	0.0386
Sensor	61.2662	58.3557	0.0401
Sensor	68.8500	58.3718	0.0367
Sensor	76.4338	58.4885	0.0357
Sensor	84.0151	58.7040	0.0303
Sensor	91.5926	59.0191	0.0181
Sensor	99.1663	59.4330	0.0046
Sensor	106.7321	59.9464	-0.0109
Sensor	114.2928	60.5585	-0.0285
Sensor	121.8438	61.2698	-0.0521
