#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023SFU1X
Date: 2022-09-13T00:24:31.355480Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9979	0.5017	-0.0189
Sensor	9.3518	-0.2667	-0.0075
Sensor	17.7100	-0.9259	-0.0008
Sensor	26.0760	-1.4739	0.0066
Sensor	34.4431	-1.9153	0.0078
Sensor	42.8224	-2.2439	0.0106
Sensor	51.2034	-2.4636	0.0093
Sensor	59.5859	-2.5732	0.0074
Sensor	67.9779	-2.5759	0.0088
Sensor	76.3645	-2.5136	0.0093
Sensor	84.7469	-2.2471	0.0070
Sensor	93.1256	-1.9174	0.0043
Sensor	101.4878	-1.4764	0.0000
Sensor	109.8469	-0.9241	-0.0068
Sensor	118.1989	-0.2693	-0.0138
Sensor	126.5511	0.4994	-0.0238
Sensor	43.2827	6.4458	0.0109
Sensor	51.5618	6.2345	0.0086
Sensor	59.8366	6.1279	0.0064
Sensor	4.4910	29.2058	-0.0216
Sensor	12.4036	28.4879	-0.0132
Sensor	20.3996	27.8645	-0.0012
Sensor	28.4017	27.3466	0.0047
Sensor	36.4113	26.9285	0.0019
Sensor	44.4179	26.6265	0.0048
Sensor	52.4251	26.4236	0.0115
Sensor	60.4357	26.3260	0.0072
Sensor	68.4445	26.3312	0.0079
Sensor	76.4510	26.4450	0.0056
Sensor	84.4527	26.6633	0.0043
Sensor	92.4474	26.9851	0.0022
Sensor	100.4339	27.4134	-0.0042
Sensor	108.4171	27.9469	-0.0077
Sensor	116.3847	28.5847	-0.0194
Sensor	124.3458	29.3271	-0.0271
Sensor	5.1808	35.0735	-0.0266
Sensor	13.0976	34.3583	-0.0142
Sensor	20.9383	33.7548	-0.0079
Sensor	28.8624	33.2413	0.0010
Sensor	36.7931	32.8358	0.0060
Sensor	44.7229	32.5318	0.0096
Sensor	52.6542	32.3297	0.0081
Sensor	60.5840	32.2360	0.0091
Sensor	68.5182	32.2442	0.0115
Sensor	76.4465	32.3594	0.0054
Sensor	84.3673	32.5737	0.0030
Sensor	92.2862	32.8984	0.0015
Sensor	100.1944	33.3221	0.0052
Sensor	108.0969	33.8529	-0.0038
Sensor	115.9893	34.4858	-0.0156
Sensor	123.8731	35.2225	-0.0228
Sensor	6.2053	43.7146	-0.0202
Sensor	14.0039	43.0144	-0.0148
Sensor	21.8118	42.4020	-0.0077
Sensor	29.5439	41.9188	0.0027
Sensor	37.3594	41.5177	0.0054
Sensor	45.1730	41.2244	0.0122
Sensor	52.9924	41.0283	0.0097
Sensor	60.8113	40.9390	0.0092
Sensor	68.6277	40.9502	0.0078
Sensor	76.4379	41.0631	0.0087
Sensor	84.2464	41.2832	0.0051
Sensor	92.0487	41.6037	0.0034
Sensor	99.8475	42.0254	0.0004
Sensor	107.6344	42.5474	-0.0031
Sensor	115.4113	43.1740	-0.0080
Sensor	123.2557	43.8941	-0.0158
Sensor	7.2291	52.3684	-0.0201
Sensor	14.9121	51.6778	-0.0094
Sensor	22.6065	51.0838	-0.0003
Sensor	30.3022	50.5922	0.0026
Sensor	38.0010	50.2002	0.0007
Sensor	45.6294	49.9250	0.0092
Sensor	53.3283	49.7350	0.0097
Sensor	61.0331	49.6493	0.0089
Sensor	68.7325	49.6604	0.0110
Sensor	76.4328	49.7759	0.0087
Sensor	84.1239	49.9945	0.0051
Sensor	91.8140	50.3106	0.0051
Sensor	99.4971	50.7304	0.0001
Sensor	107.1671	51.2485	-0.0047
Sensor	114.9075	51.8597	-0.0066
Sensor	122.5614	52.5793	-0.0139
Sensor	8.2524	61.0136	-0.0161
Sensor	15.8224	60.3402	-0.0090
Sensor	23.3972	59.7607	-0.0060
Sensor	30.9836	59.2836	0.0010
Sensor	38.5658	58.8983	0.0061
Sensor	46.1517	58.6146	0.0045
Sensor	53.7420	58.4338	0.0076
Sensor	61.3276	58.3505	0.0054
Sensor	68.9171	58.3620	0.0132
Sensor	76.4995	58.4844	0.0132
Sensor	84.0780	58.6977	0.0142
Sensor	91.6530	59.0172	0.0091
Sensor	99.2179	59.4336	0.0068
Sensor	106.7788	59.9413	0.0030
Sensor	114.3259	60.5580	0.0000
Sensor	121.8661	61.2721	-0.0044
