#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000034
Date: 2022-09-13T20:28:10.700600Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo_CMM
Run Number: 2
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	1.0000	0.5000	0.0786
Sensor	9.3476	-0.2698	0.0548
Sensor	17.7049	-0.9285	0.0318
Sensor	26.0702	-1.4776	0.0170
Sensor	34.4416	-1.9170	0.0049
Sensor	42.8184	-2.2466	0.0017
Sensor	59.5811	-2.5764	-0.0048
Sensor	43.2607	6.4510	-0.0076
Sensor	51.5254	6.2366	-0.0147
Sensor	59.7938	6.1303	-0.0149
Sensor	4.4233	29.2218	0.0331
Sensor	12.3928	28.4948	0.0140
Sensor	20.3729	27.8738	-0.0011
Sensor	28.3604	27.3575	-0.0150
Sensor	36.3542	26.9459	-0.0238
Sensor	44.3526	26.6390	-0.0289
Sensor	52.3543	26.4370	-0.0329
Sensor	60.3577	26.3383	-0.0341
Sensor	68.3620	26.3461	-0.0333
Sensor	76.3654	26.4590	-0.0292
Sensor	84.3668	26.6766	-0.0251
Sensor	92.3645	26.9992	-0.0178
Sensor	100.3573	27.4264	-0.0076
Sensor	108.3421	27.9569	0.0051
Sensor	116.3210	28.5936	0.0205
Sensor	124.2908	29.3348	0.0407
Sensor	5.1322	35.0822	0.0304
Sensor	13.0248	34.3656	0.0146
Sensor	20.9279	33.7525	0.0003
Sensor	28.8382	33.2428	-0.0116
Sensor	36.7546	32.8369	-0.0201
Sensor	44.6756	32.5349	-0.0259
Sensor	52.5998	32.3350	-0.0294
Sensor	60.5260	32.2407	-0.0307
Sensor	68.4527	32.2501	-0.0313
Sensor	76.3786	32.3637	-0.0279
Sensor	84.3025	32.5809	-0.0232
Sensor	92.2227	32.9020	-0.0155
Sensor	100.1381	33.3271	-0.0036
Sensor	108.0470	33.8541	0.0099
Sensor	115.9485	34.4863	0.0216
Sensor	123.8427	35.2220	0.0402
Sensor	6.1830	43.7306	0.0291
Sensor	13.9621	43.0253	0.0146
Sensor	21.7517	42.4235	0.0031
Sensor	29.5484	41.9239	-0.0054
Sensor	37.3510	41.5264	-0.0165
Sensor	45.1582	41.2313	-0.0210
Sensor	52.9687	41.0385	-0.0242
Sensor	60.7808	40.9481	-0.0215
Sensor	68.5935	40.9601	-0.0252
Sensor	76.4054	41.0745	-0.0227
Sensor	84.2151	41.2913	-0.0160
Sensor	92.0215	41.6104	-0.0110
Sensor	99.8208	42.0304	0.0005
Sensor	107.6160	42.5540	0.0106
Sensor	115.4037	43.1798	0.0237
Sensor	123.1824	43.9076	0.0423
Sensor	7.2119	52.3710	0.0302
Sensor	14.8779	51.6801	0.0149
Sensor	22.5537	51.0896	0.0088
Sensor	30.2368	50.5996	-0.0033
Sensor	37.9254	50.2105	-0.0105
Sensor	45.6187	49.9222	-0.0155
Sensor	53.3150	49.7346	-0.0164
Sensor	61.0131	49.6481	-0.0195
Sensor	68.7116	49.6624	-0.0190
Sensor	76.4093	49.7775	-0.0158
Sensor	84.1049	49.9937	-0.0115
Sensor	91.7969	50.3106	-0.0017
Sensor	99.4840	50.7268	0.0037
Sensor	107.1651	51.2452	0.0163
Sensor	114.8387	51.8643	0.0281
Sensor	122.5036	52.5839	0.0432
Sensor	8.2509	61.0129	0.0301
Sensor	15.8032	60.3332	0.0236
Sensor	23.3654	59.7541	0.0067
Sensor	30.9347	59.2741	0.0007
Sensor	38.5111	58.8931	-0.0051
Sensor	46.0902	58.6119	-0.0105
Sensor	53.6726	58.4296	-0.0110
Sensor	61.2565	58.3470	-0.0128
Sensor	68.8408	58.3638	-0.0117
Sensor	76.4246	58.4799	-0.0092
Sensor	84.0059	58.6955	-0.0030
Sensor	91.5837	59.0103	0.0012
Sensor	99.1566	59.4230	0.0109
Sensor	106.7235	59.9364	0.0188
Sensor	114.2832	60.5489	0.0279
Sensor	121.8358	61.2603	0.0418
