#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000034
Date: 2022-12-02T00:02:35.054Z
Institute: TRIUMF
Operator: Peter Speers
Instrument type: Mitutoyo CMM
Run Number: 4
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.7010	0.2500	0.1274
Sensor	9.0522	-0.5220	0.0889
Sensor	17.4127	-1.1846	0.0560
Sensor	25.7813	-1.7374	0.0290
Sensor	34.1565	-2.1806	0.0109
Sensor	42.5366	-2.5140	-0.0037
Sensor	50.9205	-2.7374	-0.0118
Sensor	59.3065	-2.8510	-0.0141
Sensor	43.2609	6.4511	-0.0263
Sensor	51.5253	6.2367	-0.0337
Sensor	59.7938	6.1303	-0.0330
Sensor	4.4233	29.2218	0.0564
Sensor	12.3929	28.4948	0.0284
Sensor	20.3728	27.8737	0.0027
Sensor	28.3606	27.3574	-0.0212
Sensor	36.3543	26.9458	-0.0340
Sensor	44.3525	26.6392	-0.0473
Sensor	52.3543	26.4371	-0.0516
Sensor	60.3578	26.3384	-0.0557
Sensor	68.3620	26.3462	-0.0520
Sensor	76.3656	26.4589	-0.0496
Sensor	84.3667	26.6766	-0.0399
Sensor	92.3645	26.9992	-0.0252
Sensor	100.3558	27.4267	-0.0083
Sensor	108.3421	27.9570	0.0145
Sensor	116.3211	28.5936	0.0449
Sensor	124.2908	29.3349	0.0806
Sensor	5.1320	35.0821	0.0552
Sensor	13.0250	34.3656	0.0298
Sensor	20.9279	33.7524	0.0011
Sensor	28.8382	33.2428	-0.0164
Sensor	36.7547	32.8370	-0.0314
Sensor	44.6756	32.5349	-0.0411
Sensor	52.6000	32.3367	-0.0481
Sensor	60.5259	32.2407	-0.0495
Sensor	68.4527	32.2502	-0.0487
Sensor	76.3787	32.3638	-0.0453
Sensor	84.3025	32.5811	-0.0380
Sensor	92.2228	32.9021	-0.0232
Sensor	100.1381	33.3272	-0.0057
Sensor	108.0471	33.8541	0.0175
Sensor	115.9487	34.4864	0.0458
Sensor	123.8427	35.2220	0.0758
Sensor	6.1829	43.7306	0.0547
Sensor	13.9622	43.0253	0.0320
Sensor	21.7517	42.4236	0.0074
Sensor	29.5485	41.9239	-0.0104
Sensor	37.3511	41.5265	-0.0246
Sensor	45.1583	41.2313	-0.0345
Sensor	52.9687	41.0385	-0.0421
Sensor	60.7807	40.9481	-0.0441
Sensor	68.5936	40.9601	-0.0434
Sensor	76.4054	41.0746	-0.0395
Sensor	84.2151	41.2915	-0.0300
Sensor	92.0198	41.6107	-0.0195
Sensor	99.8227	42.0318	-0.0023
Sensor	107.6162	42.5541	0.0169
Sensor	115.4036	43.1799	0.0426
Sensor	123.1825	43.9076	0.0727
Sensor	7.2120	52.3709	0.0557
Sensor	14.8778	51.6800	0.0272
Sensor	22.5537	51.0895	0.0112
Sensor	30.2368	50.5997	-0.0041
Sensor	37.9254	50.2105	-0.0151
Sensor	45.6186	49.9221	-0.0288
Sensor	53.3149	49.7346	-0.0317
Sensor	61.0130	49.6480	-0.0344
Sensor	68.7116	49.6624	-0.0354
Sensor	76.4093	49.7776	-0.0294
Sensor	84.1049	49.9937	-0.0243
Sensor	91.7969	50.3107	-0.0119
Sensor	99.4839	50.7268	0.0038
Sensor	107.1650	51.2453	0.0254
Sensor	114.8387	51.8643	0.0460
Sensor	122.5036	52.5839	0.0734
Sensor	8.2510	61.0129	0.0550
Sensor	15.8030	60.3332	0.0381
Sensor	23.3655	59.7540	0.0164
Sensor	30.9347	59.2742	0.0013
Sensor	38.5110	58.8933	-0.0112
Sensor	46.0904	58.6118	-0.0195
Sensor	53.6726	58.4297	-0.0254
Sensor	61.2565	58.3471	-0.0258
Sensor	68.8410	58.3639	-0.0257
Sensor	76.4245	58.4800	-0.0222
Sensor	84.0059	58.6955	-0.0154
Sensor	91.5837	59.0104	-0.0027
Sensor	99.1569	59.4246	0.0106
Sensor	106.7239	59.9380	0.0317
Sensor	114.2832	60.5491	0.0468
Sensor	121.8360	61.2602	0.0743
