#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000023Coax22
Date: 2022-08-10T18:26:30.074694Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9977	0.5009	-0.0370
Sensor	9.3502	-0.2678	-0.0179
Sensor	17.7077	-0.9275	-0.0051
Sensor	26.0725	-1.4750	-0.0004
Sensor	34.4425	-1.9146	0.0048
Sensor	42.8202	-2.2446	0.0098
Sensor	51.2008	-2.4642	0.0132
Sensor	59.5827	-2.5749	0.0154
Sensor	67.9659	-2.5746	0.0195
Sensor	76.3428	-2.5128	0.0213
Sensor	84.7297	-2.2452	0.0245
Sensor	93.1056	-1.9158	0.0255
Sensor	101.4801	-1.4754	0.0189
Sensor	109.8438	-0.9267	0.0044
Sensor	118.1990	-0.2695	-0.0137
Sensor	126.5482	0.4978	-0.0377
Sensor	43.2772	6.4478	-0.0033
Sensor	51.5506	6.2342	-0.0045
Sensor	59.8258	6.1268	-0.0006
Sensor	4.4800	29.2063	-0.0459
Sensor	12.3887	28.4880	-0.0267
Sensor	20.3852	27.8652	-0.0117
Sensor	28.3869	27.3468	-0.0039
Sensor	36.3913	26.9332	0.0042
Sensor	44.4157	26.6233	0.0111
Sensor	52.4248	26.4211	0.0152
Sensor	60.4339	26.3240	0.0154
Sensor	68.4420	26.3301	0.0184
Sensor	76.4475	26.4436	0.0141
Sensor	84.4500	26.6617	0.0129
Sensor	92.4440	26.9835	0.0084
Sensor	100.4305	27.4120	-0.0014
Sensor	108.4134	27.9442	-0.0106
Sensor	116.3815	28.5832	-0.0288
Sensor	124.3427	29.3257	-0.0475
Sensor	5.1841	35.0756	-0.0543
Sensor	13.0960	34.3570	-0.0167
Sensor	20.9210	33.7537	-0.0120
Sensor	28.8429	33.2419	-0.0045
Sensor	36.7767	32.8358	0.0039
Sensor	44.7006	32.5316	0.0118
Sensor	52.6341	32.3327	0.0143
Sensor	60.5674	32.2372	0.0192
Sensor	68.4955	32.2474	0.0186
Sensor	76.4213	32.3610	0.0156
Sensor	84.3453	32.5774	0.0134
Sensor	92.2643	32.8979	0.0052
Sensor	100.1709	33.3242	-0.0027
Sensor	108.0731	33.8550	-0.0153
Sensor	115.9663	34.4871	-0.0294
Sensor	123.8474	35.2248	-0.0469
Sensor	6.1868	43.7205	-0.0425
Sensor	13.9848	43.0143	-0.0250
Sensor	21.7897	42.4112	0.0008
Sensor	29.5219	41.9191	0.0068
Sensor	37.3336	41.5201	0.0088
Sensor	45.1503	41.2234	0.0195
Sensor	52.9681	41.0295	0.0228
Sensor	60.7835	40.9398	0.0243
Sensor	68.6016	40.9513	0.0239
Sensor	76.4110	41.0642	0.0217
Sensor	84.2173	41.2837	0.0132
Sensor	92.0213	41.6011	0.0076
Sensor	99.8171	42.0243	-0.0007
Sensor	107.6045	42.5487	-0.0135
Sensor	115.3814	43.1757	-0.0267
Sensor	123.2253	43.8946	-0.0424
Sensor	7.2055	52.3712	-0.0368
Sensor	14.8897	51.6799	-0.0242
Sensor	22.5785	51.0867	-0.0088
Sensor	30.2755	50.5950	0.0031
Sensor	37.9751	50.2045	0.0186
Sensor	45.6013	49.9244	0.0194
Sensor	53.3030	49.7356	0.0241
Sensor	61.0051	49.6487	0.0246
Sensor	68.7010	49.6638	0.0251
Sensor	76.4006	49.7781	0.0219
Sensor	84.0929	49.9948	0.0182
Sensor	91.7818	50.3124	0.0139
Sensor	99.4653	50.7302	0.0010
Sensor	107.1350	51.2502	-0.0080
Sensor	114.8737	51.8612	-0.0208
Sensor	122.5230	52.5826	-0.0365
Sensor	8.2232	61.0241	-0.0227
Sensor	15.7924	60.3444	-0.0160
Sensor	23.3699	59.7636	-0.0024
Sensor	30.9445	59.2837	0.0063
Sensor	38.5334	58.9002	0.0166
Sensor	46.1199	58.6170	0.0227
Sensor	53.7078	58.4352	0.0300
Sensor	61.2970	58.3521	0.0274
Sensor	68.8817	58.3680	0.0281
Sensor	76.4665	58.4840	0.0258
Sensor	84.0430	58.6999	0.0077
Sensor	91.6172	59.0159	0.0131
Sensor	99.1820	59.4320	0.0065
Sensor	106.7369	59.9462	-0.0048
Sensor	114.2894	60.5593	-0.0173
Sensor	121.8270	61.2723	-0.0349
