#---Header			
EC	or	Barrel:	EC
Module	type:	R2	
Module	ref.	Number:	20USEM2000023Coax25
Date:	2022-08-10T18:26:32.471848Z		
Institute:	SFU		
Operator:	AR		
Instrument	Type:	Smartscope_Flash_302	
Run	Number:	1	
Measurement	program	version:	v1
#---Bow			
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9986	0.5006	-0.015
Sensor	9.3505	-0.2684	-0.0069
Sensor	17.7082	-0.9265	-0.002
Sensor	26.0726	-1.4762	-0.0031
Sensor	34.4427	-1.9154	-0.002
Sensor	42.8206	-2.2443	-0.0026
Sensor	51.2016	-2.4644	-0.0015
Sensor	59.5837	-2.5747	-0.0005
Sensor	67.9668	-2.5747	0.0004
Sensor	76.3425	-2.5124	0.0067
Sensor	84.7295	-2.2456	0.0116
Sensor	93.1055	-1.916	0.0153
Sensor	101.4794	-1.4752	0.015
Sensor	109.8437	-0.9264	0.0088
Sensor	118.1989	-0.2697	-0.0005
Sensor	126.5481	0.4978	-0.0156
Sensor	43.2772	6.4481	0.006
Sensor	51.5498	6.2337	0.0054
Sensor	59.8254	6.1268	0.0045
Sensor	4.4792	29.2065	-0.0377
Sensor	12.3884	28.4883	-0.0223
Sensor	20.385	27.8649	-0.0082
Sensor	28.3864	27.3469	-0.0013
Sensor	36.3913	26.9333	0.0033
Sensor	44.4148	26.6243	0.008
Sensor	52.4227	26.4213	0.0159
Sensor	60.4338	26.3239	0.0172
Sensor	68.4431	26.3296	0.0158
Sensor	76.4473	26.4438	0.0135
Sensor	84.4499	26.6613	0.0091
Sensor	92.4442	26.9836	0.0029
Sensor	100.4314	27.4119	-0.0047
Sensor	108.4142	27.9453	-0.0093
Sensor	116.3819	28.5833	-0.0327
Sensor	124.3429	29.3257	-0.0401
Sensor	5.183	35.0763	-0.0334
Sensor	13.0974	34.357	-0.0197
Sensor	20.9213	33.7536	-0.0103
Sensor	28.8424	33.2426	-0.0023
Sensor	36.776	32.8361	0.0048
Sensor	44.6996	32.5321	0.009
Sensor	52.6332	32.3327	0.0135
Sensor	60.5668	32.2372	0.0185
Sensor	68.4944	32.2474	0.0159
Sensor	76.4212	32.3607	0.0128
Sensor	84.3446	32.5774	0.0161
Sensor	92.2632	32.898	0.0055
Sensor	100.1708	33.3246	-0.0019
Sensor	108.0727	33.8547	-0.0091
Sensor	115.9656	34.4863	-0.0228
Sensor	123.8468	35.2249	-0.0384
Sensor	6.1882	43.7195	-0.0406
Sensor	13.9835	43.0145	-0.0204
Sensor	21.7885	42.4109	-0.0051
Sensor	29.523	41.9191	0.0016
Sensor	37.3345	41.5204	0.0079
Sensor	45.15	41.224	0.0166
Sensor	52.9683	41.0299	0.0203
Sensor	60.7836	40.9396	0.0228
Sensor	68.6013	40.9502	0.024
Sensor	76.4107	41.065	0.0227
Sensor	84.2181	41.2825	0.0157
Sensor	92.0209	41.602	0.008
Sensor	99.8177	42.0243	0.0004
Sensor	107.6043	42.5486	-0.0107
Sensor	115.3806	43.1748	-0.0232
Sensor	123.2248	43.8957	-0.0405
Sensor	7.2054	52.371	-0.0367
Sensor	14.8914	51.6794	-0.0154
Sensor	22.5792	51.0866	-0.0019
Sensor	30.2755	50.5947	0.0048
Sensor	37.9743	50.2044	0.0179
Sensor	45.6008	49.9242	0.0214
Sensor	53.3009	49.7362	0.0211
Sensor	61.0048	49.6492	0.0256
Sensor	68.7014	49.6642	0.025
Sensor	76.3996	49.7785	0.0224
Sensor	84.0929	49.9951	0.0189
Sensor	91.7807	50.3122	0.0113
Sensor	99.466	50.7297	0.0021
Sensor	107.1352	51.2504	-0.0091
Sensor	114.8739	51.8614	-0.0198
Sensor	122.523	52.5826	-0.0392
Sensor	8.2228	61.0243	-0.037
Sensor	15.7934	60.3438	-0.0164
Sensor	23.3697	59.7638	-0.0107
Sensor	30.9466	59.2829	0.0043
Sensor	38.5335	58.9003	0.0144
Sensor	46.1201	58.6173	0.0165
Sensor	53.7072	58.4342	0.0224
Sensor	61.2962	58.3518	0.0238
Sensor	68.8826	58.3683	0.0241
Sensor	76.4654	58.4836	0.0224
Sensor	84.0416	58.7005	0.02
Sensor	91.6171	59.0158	0.0099
Sensor	99.1817	59.4323	0.005
Sensor	106.7365	59.9462	-0.0064
Sensor	114.2897	60.5591	-0.0186
Sensor	121.8268	61.2724	-0.0332
