Feat. Type	X1	Y1	Z1
Sensor	0.9997	0.501	-0.0702
Sensor	9.3503	-0.2682	-0.0417
Sensor	17.7078	-0.927	-0.0192
Sensor	26.0734	-1.4754	-0.0063
Sensor	34.443	-1.9152	0.005
Sensor	42.8203	-2.2449	0.0148
Sensor	51.2015	-2.4645	0.021
Sensor	59.5832	-2.5748	0.0259
Sensor	67.9666	-2.5751	0.0276
Sensor	76.3432	-2.5129	0.0313
Sensor	84.7292	-2.2457	0.0323
Sensor	93.1064	-1.9161	0.0283
Sensor	101.4797	-1.4755	0.0152
Sensor	109.8434	-0.9268	-0.0064
Sensor	118.1985	-0.2696	-0.0357
Sensor	126.5477	0.4982	-0.0737
Sensor	43.278	6.4488	0.0127
Sensor	51.5497	6.2338	0.017
Sensor	59.8253	6.1267	0.0216
Sensor	4.4801	29.2057	-0.0807
Sensor	12.388	28.4882	-0.0472
Sensor	20.385	27.8647	-0.0247
Sensor	28.3866	27.3469	-0.0008
Sensor	36.3911	26.9338	0.0111
Sensor	44.3993	26.626	0.0239
Sensor	52.4081	26.4232	0.0296
Sensor	60.4139	26.3265	0.037
Sensor	68.421	26.3333	0.0389
Sensor	76.4295	26.4455	0.0354
Sensor	84.4312	26.6636	0.029
Sensor	92.424	26.9854	0.0213
Sensor	100.4113	27.4142	0.0069
Sensor	108.3905	27.9476	-0.0158
Sensor	116.3603	28.5847	-0.0447
Sensor	124.3161	29.3287	-0.0804
Sensor	5.1668	35.078	-0.0702
Sensor	13.0786	34.3591	-0.0421
Sensor	20.9203	33.7538	-0.0185
Sensor	28.843	33.2421	0.0023
Sensor	36.7757	32.836	0.0137
Sensor	44.6999	32.5318	0.0268
Sensor	52.6333	32.3324	0.0258
Sensor	60.5669	32.2372	0.038
Sensor	68.494	32.2473	0.0423
Sensor	76.4209	32.3609	0.0334
Sensor	84.3448	32.5772	0.0306
Sensor	92.2634	32.8977	0.0181
Sensor	100.1704	33.3242	0.0022
Sensor	108.0723	33.8544	-0.0181
Sensor	115.9658	34.4868	-0.0459
Sensor	123.8464	35.2247	-0.0756
Sensor	6.1873	43.7202	-0.0696
Sensor	13.9844	43.0144	-0.0423
Sensor	21.7886	42.4109	-0.0168
Sensor	29.5227	41.9186	0.0015
Sensor	37.3341	41.5201	0.02
Sensor	45.1498	41.224	0.0325
Sensor	52.9674	41.0303	0.0405
Sensor	60.7835	40.9394	0.0422
Sensor	68.6008	40.9511	0.0422
Sensor	76.4107	41.0648	0.04
Sensor	84.2177	41.2831	0.0274
Sensor	92.0216	41.6018	0.0164
Sensor	99.8171	42.0239	-0.0012
Sensor	107.6041	42.5483	-0.0204
Sensor	115.3809	43.1753	-0.0453
Sensor	123.2255	43.8952	-0.075
Sensor	7.2058	52.3713	-0.0681
Sensor	14.8899	51.6796	-0.0415
Sensor	22.5786	51.0864	-0.0149
Sensor	30.2763	50.5947	0.0017
Sensor	37.9746	50.2045	0.0164
Sensor	45.6011	49.924	0.0286
Sensor	53.3013	49.736	0.0381
Sensor	61.0046	49.6488	0.0423
Sensor	68.7019	49.664	0.0408
Sensor	76.3999	49.7784	0.0419
Sensor	84.0925	49.9947	0.0311
Sensor	91.781	50.312	0.019
Sensor	99.4659	50.7305	-0.001
Sensor	107.1354	51.2497	-0.0194
Sensor	114.8737	51.8611	-0.0434
Sensor	122.523	52.5824	-0.0699
Sensor	8.2232	61.0244	-0.048
Sensor	15.793	60.3441	-0.0305
Sensor	23.37	59.7633	-0.0081
Sensor	30.9454	59.2832	0.0098
Sensor	38.5333	58.9001	0.0262
Sensor	46.1195	58.617	0.0362
Sensor	53.7075	58.4352	0.0453
Sensor	61.2951	58.352	0.0473
Sensor	68.8822	58.3684	0.0466
Sensor	76.4657	58.4841	0.0401
Sensor	84.0414	58.7002	0.0356
Sensor	91.6174	59.0157	0.0175
Sensor	99.1816	59.4317	0.0041
Sensor	106.7374	59.9456	-0.0169
Sensor	114.289	60.559	-0.0365
Sensor	121.8272	61.2728	-0.0637
