#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000023
Date: 2022-09-03T02:03:13.148465Z
Institute: SFU
Operator: grantSRLlightingupdate
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9974	0.5020	-0.0735
Sensor	9.3510	-0.2559	-0.0600
Sensor	17.7098	-0.9144	-0.0412
Sensor	26.0750	-1.4628	-0.0279
Sensor	34.4447	-1.9026	-0.0214
Sensor	42.8219	-2.2316	-0.0133
Sensor	51.2032	-2.4495	-0.0094
Sensor	59.5843	-2.5606	-0.0088
Sensor	67.9781	-2.5615	-0.0012
Sensor	76.3624	-2.5012	0.0022
Sensor	84.7473	-2.2329	0.0010
Sensor	93.1247	-1.9040	-0.0017
Sensor	101.4888	-1.4618	-0.0119
Sensor	109.8456	-0.9103	-0.0316
Sensor	118.2003	-0.2546	-0.0585
Sensor	126.5501	0.5142	-0.0949
Sensor	43.2913	6.4610	0.0584
Sensor	51.5618	6.2341	0.0655
Sensor	59.8356	6.1279	0.0689
Sensor	4.4910	29.2059	-0.0697
Sensor	12.4037	28.4879	-0.0330
Sensor	20.3984	27.8647	-0.0016
Sensor	28.4023	27.3467	0.0207
Sensor	36.4113	26.9292	0.0379
Sensor	44.4176	26.6256	0.0526
Sensor	52.4253	26.4245	0.0612
Sensor	60.4351	26.3259	0.0637
Sensor	68.4444	26.3332	0.0664
Sensor	76.4522	26.4456	0.0627
Sensor	84.4522	26.6631	0.0566
Sensor	92.4461	26.9859	0.0447
Sensor	100.4335	27.4152	0.0241
Sensor	108.4166	27.9474	-0.0002
Sensor	116.3845	28.5845	-0.0361
Sensor	124.3444	29.3283	-0.0761
Sensor	5.1807	35.0739	-0.0724
Sensor	13.0961	34.3585	-0.0387
Sensor	20.9376	33.7544	-0.0089
Sensor	28.8633	33.2417	0.0140
Sensor	36.7921	32.8353	0.0326
Sensor	44.7222	32.5319	0.0460
Sensor	52.6541	32.3300	0.0543
Sensor	60.5858	32.2356	0.0580
Sensor	68.5172	32.2442	0.0594
Sensor	76.4452	32.3595	0.0560
Sensor	84.3677	32.5732	0.0473
Sensor	92.2866	32.8995	0.0347
Sensor	100.1944	33.3224	0.0159
Sensor	108.0976	33.8526	-0.0097
Sensor	115.9911	34.4842	-0.0394
Sensor	123.8728	35.2238	-0.0737
Sensor	6.2047	43.7153	-0.0738
Sensor	14.0041	43.0147	-0.0451
Sensor	21.8114	42.4024	-0.0172
Sensor	29.5434	41.9189	0.0051
Sensor	37.3567	41.5190	0.0227
Sensor	45.1736	41.2252	0.0354
Sensor	52.9906	41.0283	0.0431
Sensor	60.8109	40.9392	0.0483
Sensor	68.6279	40.9509	0.0491
Sensor	76.4376	41.0623	0.0443
Sensor	84.2455	41.2844	0.0376
Sensor	92.0483	41.6042	0.0246
Sensor	99.8471	42.0244	0.0062
Sensor	107.6342	42.5467	-0.0158
Sensor	115.4120	43.1742	-0.0443
Sensor	123.2556	43.8927	-0.0711
Sensor	7.2280	52.3688	-0.0754
Sensor	14.9120	51.6780	-0.0472
Sensor	22.6033	51.0845	-0.0266
Sensor	30.3030	50.5915	-0.0038
Sensor	37.9994	50.2010	0.0175
Sensor	45.6297	49.9248	0.0268
Sensor	53.3293	49.7345	0.0353
Sensor	61.0333	49.6497	0.0379
Sensor	68.7331	49.6603	0.0371
Sensor	76.4324	49.7756	0.0334
Sensor	84.1248	49.9948	0.0265
Sensor	91.8137	50.3102	0.0141
Sensor	99.4976	50.7301	-0.0021
Sensor	107.1665	51.2487	-0.0233
Sensor	114.9073	51.8588	-0.0474
Sensor	122.5597	52.5802	-0.0716
Sensor	8.2534	61.0136	-0.0791
Sensor	15.8208	60.3407	-0.0545
Sensor	23.3983	59.7614	-0.0325
Sensor	30.9828	59.2842	-0.0118
Sensor	38.5640	58.8996	0.0063
Sensor	46.1519	58.6155	0.0185
Sensor	53.7409	58.4337	0.0279
Sensor	61.3280	58.3514	0.0325
Sensor	68.9170	58.3628	0.0320
Sensor	76.4997	58.4835	0.0285
Sensor	84.0780	58.6982	0.0196
Sensor	91.6524	59.0168	0.0075
Sensor	99.2182	59.4352	-0.0097
Sensor	106.7779	59.9417	-0.0311
Sensor	114.3268	60.5573	-0.0509
Sensor	121.8652	61.2715	-0.0731
