#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USES20000020
Date: 2022-09-20T16:52:09.669190Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9990	0.4984	0.0046
Sensor	9.3492	-0.2668	0.0042
Sensor	17.7058	-0.9253	0.0041
Sensor	26.0729	-1.4747	0.0039
Sensor	34.4424	-1.9132	0.0037
Sensor	42.8203	-2.2428	0.0034
Sensor	51.1996	-2.4632	0.0025
Sensor	59.5824	-2.5734	0.0012
Sensor	67.9655	-2.5740	0.0006
Sensor	76.3484	-2.4641	0.0003
Sensor	84.7281	-2.2435	0.0000
Sensor	93.1043	-1.9153	0.0007
Sensor	101.4762	-1.4754	0.0012
Sensor	109.8425	-0.9268	0.0007
Sensor	118.1987	-0.2679	0.0008
Sensor	126.5470	0.4985	0.0017
Sensor	43.2676	6.4482	-0.0013
Sensor	51.5381	6.2367	-0.0012
Sensor	59.8077	6.1308	-0.0023
Sensor	4.4448	29.2125	-0.0030
Sensor	12.4180	28.4868	-0.0015
Sensor	20.3985	27.8658	-0.0014
Sensor	28.3851	27.3493	-0.0013
Sensor	36.3791	26.9372	0.0001
Sensor	44.3774	26.6299	0.0010
Sensor	52.3807	26.4288	-0.0001
Sensor	60.3821	26.3314	-0.0003
Sensor	68.3876	26.3389	-0.0012
Sensor	76.3900	26.4522	-0.0030
Sensor	84.3915	26.6697	-0.0033
Sensor	92.3892	26.9922	-0.0041
Sensor	100.3818	27.4209	-0.0036
Sensor	108.3691	27.9529	-0.0039
Sensor	116.3473	28.5884	-0.0034
Sensor	124.3194	29.3294	-0.0032
Sensor	5.1512	35.0777	-0.0050
Sensor	13.0487	34.3646	-0.0026
Sensor	20.9511	33.7517	-0.0014
Sensor	28.8613	33.2427	-0.0003
Sensor	36.7776	32.8359	0.0006
Sensor	44.6987	32.5343	0.0006
Sensor	52.6238	32.3365	0.0009
Sensor	60.5481	32.2413	0.0004
Sensor	68.4760	32.2510	-0.0001
Sensor	76.4009	32.3639	-0.0011
Sensor	84.3254	32.5808	-0.0029
Sensor	92.2455	32.9030	-0.0041
Sensor	100.1607	33.3286	-0.0039
Sensor	108.0706	33.8558	-0.0038
Sensor	115.9708	34.4880	-0.0041
Sensor	123.8657	35.2245	-0.0030
Sensor	6.1887	43.7177	-0.0059
Sensor	13.9707	43.0185	-0.0038
Sensor	21.7612	42.4167	-0.0015
Sensor	29.5581	41.9163	-0.0001
Sensor	37.3611	41.5194	0.0010
Sensor	45.1669	41.2244	0.0019
Sensor	52.9787	41.0319	0.0029
Sensor	60.7899	40.9401	0.0024
Sensor	68.6026	40.9528	0.0021
Sensor	76.4149	41.0665	0.0007
Sensor	84.2249	41.2837	-0.0010
Sensor	92.0305	41.6029	-0.0019
Sensor	99.8318	42.0245	-0.0022
Sensor	107.6274	42.5486	-0.0027
Sensor	115.4150	43.1723	-0.0021
Sensor	123.1940	43.9007	-0.0018
Sensor	7.2127	52.3722	-0.0075
Sensor	14.8821	51.6846	-0.0042
Sensor	22.5593	51.0940	-0.0012
Sensor	30.2400	50.6043	0.0003
Sensor	37.9299	50.2147	0.0025
Sensor	45.6225	49.9266	0.0033
Sensor	53.3193	49.7388	0.0044
Sensor	61.0182	49.6516	0.0044
Sensor	68.7151	49.6659	0.0039
Sensor	76.4126	49.7807	0.0027
Sensor	84.1089	49.9982	0.0010
Sensor	91.8004	50.3149	0.0008
Sensor	99.4890	50.7315	0.0004
Sensor	107.1690	51.2508	-0.0003
Sensor	114.8426	51.8686	0.0003
Sensor	122.5072	52.5888	0.0001
Sensor	8.2588	61.0183	-0.0071
Sensor	15.8143	60.3439	-0.0051
Sensor	23.3772	59.7642	-0.0016
Sensor	30.9465	59.2842	0.0007
Sensor	38.5225	58.9031	0.0030
Sensor	46.1019	58.6224	0.0044
Sensor	53.6834	58.4401	0.0057
Sensor	61.2673	58.3580	0.0061
Sensor	68.8511	58.3742	0.0061
Sensor	76.4350	58.4896	0.0060
Sensor	84.0179	58.7050	0.0043
Sensor	91.5940	59.0200	0.0037
Sensor	99.1672	59.4353	0.0025
Sensor	106.7348	59.9500	0.0021
Sensor	114.2934	60.5600	0.0019
Sensor	121.8454	61.2715	0.0017
