#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USES20000287
Date: 2022-11-21T17:39:29.710352Z
Institute: TRIUMF
Operator: Archa Rajagopalan
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9982	0.4984	0.0114
Sensor	9.3484	-0.2665	0.0076
Sensor	17.7058	-0.9249	0.0045
Sensor	26.0709	-1.4743	0.0014
Sensor	34.4429	-1.9138	-0.0001
Sensor	42.8194	-2.2422	-0.0001
Sensor	51.1994	-2.4645	-0.0009
Sensor	59.5820	-2.5737	-0.0011
Sensor	67.9652	-2.5741	-0.0005
Sensor	76.3476	-2.4637	0.0010
Sensor	84.7279	-2.2447	0.0017
Sensor	93.1053	-1.9136	0.0031
Sensor	101.4763	-1.4754	0.0039
Sensor	109.8422	-0.9276	0.0045
Sensor	118.2005	-0.2678	0.0059
Sensor	126.5470	0.5013	0.0070
Sensor	43.2682	6.4477	-0.0044
Sensor	51.5375	6.2373	-0.0050
Sensor	59.8060	6.1313	-0.0043
Sensor	4.4442	29.2125	0.0057
Sensor	12.4201	28.4862	0.0021
Sensor	20.3976	27.8663	-0.0001
Sensor	28.3850	27.3498	-0.0027
Sensor	36.3786	26.9380	-0.0040
Sensor	44.3796	26.6307	-0.0049
Sensor	52.3795	26.4289	-0.0054
Sensor	60.3837	26.3309	-0.0056
Sensor	68.3874	26.3399	-0.0052
Sensor	76.3902	26.4523	-0.0043
Sensor	84.3928	26.6696	-0.0033
Sensor	92.3895	26.9921	-0.0026
Sensor	100.3832	27.4203	-0.0018
Sensor	108.3691	27.9529	-0.0005
Sensor	116.3481	28.5889	0.0004
Sensor	124.3174	29.3293	0.0006
Sensor	5.1501	35.0786	0.0052
Sensor	13.0477	34.3648	0.0029
Sensor	20.9508	33.7517	-0.0008
Sensor	28.8626	33.2423	-0.0027
Sensor	36.7769	32.8366	-0.0039
Sensor	44.6993	32.5346	-0.0051
Sensor	52.6227	32.3356	-0.0054
Sensor	60.5482	32.2412	-0.0052
Sensor	68.4763	32.2505	-0.0048
Sensor	76.4012	32.3649	-0.0040
Sensor	84.3263	32.5817	-0.0030
Sensor	92.2459	32.9033	-0.0022
Sensor	100.1622	33.3287	-0.0018
Sensor	108.0703	33.8568	-0.0002
Sensor	115.9715	34.4889	0.0004
Sensor	123.8659	35.2236	0.0010
Sensor	6.1882	43.7193	0.0052
Sensor	13.9721	43.0179	0.0025
Sensor	21.7617	42.4169	0.0006
Sensor	29.5580	41.9165	-0.0018
Sensor	37.3604	41.5200	-0.0039
Sensor	45.1686	41.2235	-0.0046
Sensor	52.9781	41.0321	-0.0047
Sensor	60.7897	40.9408	-0.0044
Sensor	68.6034	40.9526	-0.0038
Sensor	76.4154	41.0669	-0.0028
Sensor	84.2250	41.2838	-0.0020
Sensor	92.0319	41.6029	-0.0005
Sensor	99.8323	42.0245	-0.0003
Sensor	107.6283	42.5466	0.0009
Sensor	115.4160	43.1726	0.0014
Sensor	123.1940	43.9012	0.0019
Sensor	7.2119	52.3730	0.0065
Sensor	14.8831	51.6849	0.0033
Sensor	22.5576	51.0945	0.0008
Sensor	30.2407	50.6045	-0.0007
Sensor	37.9316	50.2152	-0.0029
Sensor	45.6220	49.9263	-0.0025
Sensor	53.3189	49.7392	-0.0036
Sensor	61.0171	49.6520	-0.0034
Sensor	68.7151	49.6663	-0.0016
Sensor	76.4153	49.7811	-0.0007
Sensor	84.1081	49.9972	-0.0001
Sensor	91.8004	50.3135	0.0006
Sensor	99.4889	50.7315	0.0015
Sensor	107.1688	51.2509	0.0022
Sensor	114.8435	51.8680	0.0020
Sensor	122.5070	52.5877	0.0029
Sensor	8.2580	61.0187	0.0068
Sensor	15.8147	60.3436	0.0039
Sensor	23.3775	59.7647	0.0015
Sensor	30.9464	59.2844	-0.0007
Sensor	38.5195	58.9019	-0.0012
Sensor	46.1005	58.6224	-0.0008
Sensor	53.6830	58.4409	-0.0009
Sensor	61.2674	58.3573	0.0001
Sensor	68.8514	58.3742	0.0017
Sensor	76.4359	58.4901	0.0029
Sensor	84.0162	58.7055	0.0037
Sensor	91.5948	59.0206	0.0037
Sensor	99.1679	59.4350	0.0040
Sensor	106.7333	59.9484	0.0041
Sensor	114.2944	60.5598	0.0041
Sensor	121.8448	61.2724	0.0046
