#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20usem2000023midzoomcoax7
Date: 2022-08-10T05:17:25.927111Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3486	-0.2675	-0.0810
Sensor	17.7069	-0.9267	-0.0335
Sensor	26.0723	-1.4758	-0.0083
Sensor	34.4437	-1.9149	0.0140
Sensor	42.8212	-2.2450	0.0252
Sensor	51.2000	-2.4640	0.0319
Sensor	59.5831	-2.5742	0.0413
Sensor	67.9653	-2.5741	0.0426
Sensor	76.3382	-2.5512	0.0572
Sensor	84.7286	-2.2459	0.0380
Sensor	93.1051	-1.9159	0.0286
Sensor	101.4778	-1.4770	0.0075
Sensor	109.8434	-0.9271	-0.0317
Sensor	118.1999	-0.2692	-0.0701
Sensor	126.5487	0.4986	-0.1284
Sensor	43.2683	6.4502	0.0091
Sensor	51.5365	6.2361	0.0256
Sensor	59.8050	6.1298	0.0323
Sensor	4.4454	29.2102	-0.1099
Sensor	12.4172	28.4847	-0.0621
Sensor	20.3958	27.8627	-0.0279
Sensor	28.3837	27.3476	-0.0010
Sensor	36.3768	26.9362	0.0199
Sensor	44.3740	26.6290	0.0258
Sensor	52.3775	26.4276	0.0434
Sensor	60.3816	26.3303	0.0533
Sensor	68.3850	26.3382	0.0603
Sensor	76.3882	26.4509	0.0565
Sensor	84.3906	26.6684	0.0413
Sensor	92.3871	26.9912	0.0268
Sensor	100.3800	27.4178	0.0097
Sensor	108.3669	27.9502	-0.0205
Sensor	116.3462	28.5864	-0.0640
Sensor	124.3156	29.3278	-0.1044
Sensor	5.1502	35.0806	-0.1032
Sensor	13.0431	34.3632	-0.0707
Sensor	20.9473	33.7501	-0.0296
Sensor	28.8575	33.2403	-0.0042
Sensor	36.7743	32.8349	0.0190
Sensor	44.6946	32.5332	0.0324
Sensor	52.6194	32.3349	0.0447
Sensor	60.5444	32.2404	0.0484
Sensor	68.4716	32.2496	0.0516
Sensor	76.3972	32.3623	0.0495
Sensor	84.3208	32.5802	0.0415
Sensor	92.2412	32.9015	0.0206
Sensor	100.1565	33.3264	0.0001
Sensor	108.0657	33.8548	-0.0256
Sensor	115.9680	34.4868	-0.0642
Sensor	123.8625	35.2224	-0.0971
Sensor	6.1895	43.7197	-0.0958
Sensor	13.9706	43.0164	-0.0569
Sensor	21.7620	42.4145	-0.0260
Sensor	29.5588	41.9150	-0.0053
Sensor	37.3597	41.5175	0.0245
Sensor	45.1687	41.2222	0.0376
Sensor	52.9785	41.0292	0.0455
Sensor	60.7896	40.9392	0.0561
Sensor	68.6036	40.9509	0.0554
Sensor	76.4147	41.0653	0.0522
Sensor	84.2245	41.2817	0.0362
Sensor	92.0296	41.6012	0.0187
Sensor	99.8315	42.0223	-0.0024
Sensor	107.6279	42.5460	-0.0245
Sensor	115.4146	43.1715	-0.0529
Sensor	123.1940	43.8984	-0.0954
Sensor	7.2198	52.3696	-0.0862
Sensor	14.8882	51.6790	-0.0481
Sensor	22.5629	51.0887	-0.0238
Sensor	30.2464	50.5986	0.0001
Sensor	37.9357	50.2095	0.0263
Sensor	45.6288	49.9211	0.0408
Sensor	53.3237	49.7340	0.0555
Sensor	61.0228	49.6464	0.0580
Sensor	68.7221	49.6610	0.0554
Sensor	76.4206	49.7757	0.0483
Sensor	84.1158	49.9923	0.0427
Sensor	91.8070	50.3095	0.0262
Sensor	99.4949	50.7274	0.0067
Sensor	107.1754	51.2451	-0.0202
Sensor	114.8502	51.8642	-0.0455
Sensor	122.5148	52.5840	-0.0806
Sensor	8.2590	61.0197	-0.0768
Sensor	15.8126	60.3424	-0.0450
Sensor	23.3755	59.7630	-0.0269
Sensor	30.9446	59.2830	0.0051
Sensor	38.5198	58.9023	0.0199
Sensor	46.1000	58.6208	0.0389
Sensor	53.6826	58.4398	0.0515
Sensor	61.2657	58.3558	0.0627
Sensor	68.8494	58.3729	0.0613
Sensor	76.4338	58.4892	0.0545
Sensor	84.0162	58.7029	0.0444
Sensor	91.5926	59.0203	0.0276
Sensor	99.1667	59.4323	0.0124
Sensor	106.7329	59.9469	-0.0114
Sensor	114.2935	60.5599	-0.0347
Sensor	121.8442	61.2702	-0.0667
