#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 34sfusept
Date: 2022-09-13T00:24:31.351Z
Institute: SFU
Operator: ar
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9995	0.4990	-0.0126
Sensor	9.3488	-0.2667	-0.0041
Sensor	17.7071	-0.9255	0.0024
Sensor	26.0718	-1.4745	0.0058
Sensor	34.4429	-1.9135	0.0080
Sensor	42.8206	-2.2439	0.0091
Sensor	51.1997	-2.4630	0.0092
Sensor	59.5835	-2.5738	0.0086
Sensor	67.9656	-2.5734	0.0087
Sensor	76.3482	-2.4653	0.0088
Sensor	84.7283	-2.2459	0.0075
Sensor	93.1058	-1.9157	0.0050
Sensor	101.4766	-1.4750	0.0014
Sensor	109.8421	-0.9268	-0.0033
Sensor	118.1984	-0.2684	-0.0094
Sensor	126.5480	0.4995	-0.0162
Sensor	43.2671	6.4492	0.0053
Sensor	51.5365	6.2362	0.0044
Sensor	59.8054	6.1303	0.0035
Sensor	4.4450	29.2126	-0.0210
Sensor	12.4173	28.4864	-0.0115
Sensor	20.3975	27.8657	-0.0043
Sensor	28.3846	27.3489	0.0004
Sensor	36.3794	26.9369	0.0036
Sensor	44.3766	26.6300	0.0054
Sensor	52.3791	26.4287	0.0064
Sensor	60.3821	26.3311	0.0057
Sensor	68.3868	26.3387	0.0041
Sensor	76.3908	26.4512	0.0029
Sensor	84.3911	26.6693	0.0009
Sensor	92.3900	26.9922	-0.0003
Sensor	100.3817	27.4189	-0.0035
Sensor	108.3704	27.9508	-0.0079
Sensor	116.3471	28.5900	-0.0140
Sensor	124.3184	29.3296	-0.0210
Sensor	5.1518	35.0785	-0.0196
Sensor	13.0467	34.3644	-0.0116
Sensor	20.9520	33.7517	-0.0048
Sensor	28.8605	33.2417	-0.0003
Sensor	36.7767	32.8351	0.0032
Sensor	44.6974	32.5334	0.0052
Sensor	52.6228	32.3348	0.0063
Sensor	60.5481	32.2406	0.0057
Sensor	68.4752	32.2497	0.0048
Sensor	76.4012	32.3643	0.0039
Sensor	84.3254	32.5812	0.0026
Sensor	92.2454	32.9035	0.0000
Sensor	100.1608	33.3272	-0.0033
Sensor	108.0696	33.8563	-0.0063
Sensor	115.9719	34.4880	-0.0118
Sensor	123.8636	35.2236	-0.0180
Sensor	6.1891	43.7184	-0.0166
Sensor	13.9709	43.0182	-0.0101
Sensor	21.7615	42.4157	-0.0043
Sensor	29.5570	41.9165	-0.0001
Sensor	37.3609	41.5190	0.0031
Sensor	45.1685	41.2237	0.0050
Sensor	52.9772	41.0305	0.0068
Sensor	60.7903	40.9404	0.0061
Sensor	68.6026	40.9517	0.0052
Sensor	76.4147	41.0672	0.0044
Sensor	84.2241	41.2832	0.0030
Sensor	92.0313	41.6021	0.0013
Sensor	99.8323	42.0233	-0.0010
Sensor	107.6269	42.5485	-0.0036
Sensor	115.4154	43.1732	-0.0081
Sensor	123.1932	43.9012	-0.0122
Sensor	7.2130	52.3719	-0.0126
Sensor	14.8820	51.6846	-0.0081
Sensor	22.5582	51.0946	-0.0028
Sensor	30.2403	50.6050	0.0009
Sensor	37.9283	50.2148	0.0038
Sensor	45.6228	49.9269	0.0055
Sensor	53.3187	49.7374	0.0072
Sensor	61.0161	49.6499	0.0076
Sensor	68.7157	49.6653	0.0069
Sensor	76.4135	49.7804	0.0063
Sensor	84.1084	49.9977	0.0055
Sensor	91.8007	50.3137	0.0041
Sensor	99.4870	50.7305	0.0019
Sensor	107.1696	51.2495	-0.0003
Sensor	114.8418	51.8690	-0.0033
Sensor	122.5071	52.5873	-0.0064
Sensor	8.2596	61.0185	-0.0083
Sensor	15.8148	60.3431	-0.0049
Sensor	23.3777	59.7641	-0.0015
Sensor	30.9461	59.2846	0.0026
Sensor	38.5213	58.9038	0.0048
Sensor	46.1001	58.6222	0.0068
Sensor	53.6820	58.4400	0.0077
Sensor	61.2670	58.3571	0.0087
Sensor	68.8504	58.3733	0.0091
Sensor	76.4369	58.4889	0.0089
Sensor	84.0158	58.7049	0.0087
Sensor	91.5939	59.0198	0.0088
Sensor	99.1668	59.4342	0.0057
Sensor	106.7352	59.9473	0.0042
Sensor	114.2934	60.5598	0.0008
Sensor	121.8447	61.2716	-0.0011
