#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: M125TRIUMF
Date: 2023-04-20T17:37:00.247Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	1.0001	1.0000	0.0176
Sensor	10.3870	0.1522	0.0122
Sensor	19.7882	-0.5419	0.0056
Sensor	29.1993	-1.0820	0.0083
Sensor	38.6181	-1.4682	0.0064
Sensor	48.0420	-1.6999	-0.0044
Sensor	57.4684	-1.7774	-0.0057
Sensor	66.8947	-1.7005	-0.0030
Sensor	76.3187	-1.4695	-0.0025
Sensor	85.7375	-1.0840	-0.0074
Sensor	95.1487	-0.5445	-0.0007
Sensor	104.5499	0.1490	-0.0004
Sensor	113.9385	0.9963	-0.0059
Sensor	1.9800	9.2899	0.0131
Sensor	11.2307	8.4555	0.0054
Sensor	20.4958	7.7740	0.0045
Sensor	29.7709	7.2443	0.0025
Sensor	39.0532	6.8666	-0.0015
Sensor	48.3406	6.6407	-0.0029
Sensor	57.6303	6.5671	-0.0058
Sensor	66.9201	6.6453	-0.0064
Sensor	76.2089	6.8757	-0.0039
Sensor	85.4896	7.2583	-0.0053
Sensor	94.7643	7.7927	-0.0052
Sensor	104.0305	8.4785	-0.0043
Sensor	113.2828	9.3163	-0.0058
Sensor	2.9584	17.5801	0.0068
Sensor	12.0735	16.7624	0.0073
Sensor	21.2026	16.0935	0.0052
Sensor	30.3413	15.5745	0.0035
Sensor	39.4872	15.2047	-0.0016
Sensor	48.6380	14.9850	-0.0019
Sensor	57.7913	14.9150	-0.0003
Sensor	66.9443	14.9949	-0.0050
Sensor	76.0949	15.2246	-0.0029
Sensor	85.2405	15.6041	-0.0038
Sensor	94.3787	16.1334	-0.0031
Sensor	103.5069	16.8121	-0.0034
Sensor	112.6228	17.6401	-0.0038
Sensor	66.4283	30.1802	-0.0011
Sensor	75.3477	30.4004	-0.0006
Sensor	84.2640	30.7665	-0.0036
Sensor	93.1729	31.2788	-0.0010
Sensor	102.0724	31.9373	0.0003
Sensor	110.9597	32.7417	-0.0029
Sensor	30.1281	32.6686	0.0000
Sensor	39.0115	32.2928	0.0004
Sensor	47.9015	32.0625	-0.0012
Sensor	5.7385	41.0300	-0.0012
Sensor	14.4880	40.2530	0.0000
Sensor	23.2508	39.6194	0.0026
Sensor	32.0228	39.1297	-0.0023
Sensor	40.8016	38.7840	0.0005
Sensor	49.5849	38.5823	0.0001
Sensor	33.1381	44.9886	-0.0010
Sensor	41.8191	44.6605	0.0022
Sensor	50.5059	44.4747	0.0017
Sensor	59.1945	44.4314	-0.0020
Sensor	67.8826	44.5307	0.0019
Sensor	66.1583	46.5302	0.0014
Sensor	74.8096	46.7436	-0.0002
Sensor	83.4577	47.0987	0.0022
Sensor	92.0989	47.5957	0.0024
Sensor	100.7308	48.2343	0.0020
Sensor	109.3509	49.0145	-0.0016
Sensor	8.4902	64.2917	-0.0044
Sensor	16.8576	63.5549	-0.0038
Sensor	25.2377	62.9570	-0.0036
Sensor	33.6266	62.4968	0.0002
Sensor	42.0219	62.1741	-0.0005
Sensor	50.4213	61.9893	-0.0037
Sensor	58.8226	61.9422	-0.0000
Sensor	67.2236	62.0331	0.0009
Sensor	75.6220	62.2617	0.0019
Sensor	84.0154	62.6281	0.0042
Sensor	92.4017	63.1320	0.0033
Sensor	100.7786	63.7735	0.0036
Sensor	109.1439	64.5524	0.0060
Sensor	8.8486	67.3417	-0.0055
Sensor	17.1660	66.6083	-0.0052
Sensor	25.4961	66.0127	-0.0040
Sensor	33.8348	65.5540	-0.0000
Sensor	42.1799	65.2321	-0.0023
Sensor	50.5292	65.0472	-0.0022
Sensor	58.8804	64.9991	-0.0004
Sensor	67.2311	65.0884	-0.0000
Sensor	75.5794	65.3144	0.0035
Sensor	83.9228	65.6773	0.0012
Sensor	92.2592	66.1772	0.0036
Sensor	100.5861	66.8136	0.0030
Sensor	108.9016	67.5867	0.0077
Sensor	9.8321	75.6347	-0.0087
Sensor	18.0133	74.9185	-0.0069
Sensor	26.2069	74.3380	-0.0063
Sensor	34.4091	73.8921	-0.0038
Sensor	42.6172	73.5807	-0.0024
Sensor	50.8296	73.4041	-0.0019
Sensor	59.0436	73.3622	-0.0019
Sensor	67.2573	73.4551	0.0005
Sensor	75.4683	73.6826	0.0029
Sensor	83.6745	74.0450	0.0020
Sensor	91.8739	74.5433	0.0065
Sensor	100.0637	75.1746	0.0029
Sensor	108.2421	75.9402	0.0063
Sensor	10.8098	83.4550	-0.0089
Sensor	18.8644	82.7552	-0.0082
Sensor	26.9294	82.1877	-0.0072
Sensor	35.0025	81.7524	-0.0017
Sensor	43.0817	81.4499	-0.0008
Sensor	51.1648	81.2797	0.0005
Sensor	59.2495	81.2423	-0.0025
Sensor	67.3339	81.3376	0.0033
Sensor	75.4154	81.5653	0.0064
Sensor	83.4923	81.9257	0.0014
Sensor	91.5621	82.4184	0.0076
Sensor	99.6228	83.0435	0.0089
Sensor	107.6720	83.8009	0.0081
