#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2SampleSFUTestFrame
Date: 2022-11-09T17:40:49.640162Z
Institute: TRIUMF
Operator: AR
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9970	0.4981	0.0079
Sensor	9.3483	-0.2704	0.0069
Sensor	17.7046	-0.9284	0.0055
Sensor	26.0710	-1.4778	0.0036
Sensor	34.4425	-1.9174	0.0025
Sensor	42.8192	-2.2467	-0.0007
Sensor	51.2002	-2.4672	-0.0008
Sensor	59.5820	-2.5767	-0.0014
Sensor	67.9654	-2.5737	-0.0009
Sensor	76.3477	-2.4641	0.0001
Sensor	84.7276	-2.2439	0.0025
Sensor	93.1047	-1.9150	0.0049
Sensor	101.4767	-1.4754	0.0067
Sensor	109.8413	-0.9296	0.0079
Sensor	118.2001	-0.2674	0.0077
Sensor	126.5474	0.5003	0.0092
Sensor	43.2681	6.4524	-0.0038
Sensor	51.5383	6.2336	-0.0039
Sensor	59.8057	6.1273	-0.0043
Sensor	4.4433	29.2115	0.0011
Sensor	12.4172	28.4828	-0.0003
Sensor	20.3990	27.8615	-0.0022
Sensor	28.3854	27.3450	-0.0035
Sensor	36.3798	26.9338	-0.0044
Sensor	44.3769	26.6272	-0.0042
Sensor	52.3797	26.4254	-0.0053
Sensor	60.3823	26.3286	-0.0048
Sensor	68.3870	26.3391	-0.0051
Sensor	76.3903	26.4525	-0.0051
Sensor	84.3928	26.6702	-0.0035
Sensor	92.3893	26.9930	-0.0031
Sensor	100.3825	27.4204	-0.0024
Sensor	108.3695	27.9517	-0.0008
Sensor	116.3478	28.5887	-0.0008
Sensor	124.3181	29.3297	-0.0002
Sensor	5.1499	35.0818	0.0010
Sensor	13.0464	34.3609	-0.0003
Sensor	20.9510	33.7486	-0.0023
Sensor	28.8608	33.2393	-0.0029
Sensor	36.7781	32.8332	-0.0040
Sensor	44.6976	32.5307	-0.0054
Sensor	52.6231	32.3321	-0.0050
Sensor	60.5491	32.2386	-0.0053
Sensor	68.4763	32.2502	-0.0051
Sensor	76.4008	32.3645	-0.0048
Sensor	84.3252	32.5815	-0.0047
Sensor	92.2463	32.9032	-0.0028
Sensor	100.1616	33.3275	-0.0013
Sensor	108.0700	33.8564	-0.0015
Sensor	115.9711	34.4894	-0.0015
Sensor	123.8642	35.2246	0.0005
Sensor	6.1878	43.7218	0.0021
Sensor	13.9704	43.0143	0.0007
Sensor	21.7619	42.4124	0.0001
Sensor	29.5580	41.9127	-0.0012
Sensor	37.3603	41.5156	-0.0022
Sensor	45.1674	41.2203	-0.0029
Sensor	52.9786	41.0277	-0.0039
Sensor	60.7901	40.9374	-0.0040
Sensor	68.6029	40.9523	-0.0039
Sensor	76.4146	41.0672	-0.0034
Sensor	84.2253	41.2835	-0.0028
Sensor	92.0307	41.6030	-0.0016
Sensor	99.8318	42.0245	-0.0009
Sensor	107.6288	42.5473	-0.0005
Sensor	115.4142	43.1733	0.0009
Sensor	123.1940	43.9015	0.0013
Sensor	7.2113	52.3761	0.0041
Sensor	14.8795	51.6807	0.0023
Sensor	22.5578	51.0896	0.0021
Sensor	30.2419	50.5998	0.0012
Sensor	37.9295	50.2109	0.0004
Sensor	45.6227	49.9227	-0.0006
Sensor	53.3208	49.7346	-0.0005
Sensor	61.0168	49.6485	-0.0014
Sensor	68.7159	49.6654	-0.0015
Sensor	76.4135	49.7811	-0.0008
Sensor	84.1083	49.9964	-0.0005
Sensor	91.8006	50.3141	-0.0004
Sensor	99.4883	50.7313	0.0004
Sensor	107.1690	51.2512	0.0001
Sensor	114.8428	51.8688	0.0013
Sensor	122.5080	52.5880	0.0020
Sensor	8.2574	61.0226	0.0063
Sensor	15.8129	60.3400	0.0049
Sensor	23.3768	59.7603	0.0042
Sensor	30.9480	59.2807	0.0041
Sensor	38.5209	58.8999	0.0039
Sensor	46.1013	58.6179	0.0042
Sensor	53.6831	58.4365	0.0030
Sensor	61.2664	58.3542	0.0021
Sensor	68.8534	58.3737	0.0017
Sensor	76.4346	58.4904	0.0019
Sensor	84.0163	58.7060	0.0030
Sensor	91.5943	59.0207	0.0031
Sensor	99.1667	59.4346	0.0025
Sensor	106.7350	59.9480	0.0028
Sensor	114.2931	60.5609	0.0033
Sensor	121.8447	61.2720	0.0037
