#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2SampleTRIUMFTestFrame
Date: 2022-11-08T22:38:31.185705Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo_CMM
Run Number: 2
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9998	0.4984	-0.0080
Sensor	9.3478	-0.2682	-0.0086
Sensor	17.7050	-0.9269	-0.0072
Sensor	26.0702	-1.4760	-0.0074
Sensor	34.4419	-1.9154	-0.0091
Sensor	42.8186	-2.2451	-0.0099
Sensor	51.1988	-2.4649	-0.0064
Sensor	59.5813	-2.5749	-0.0059
Sensor	43.2608	6.4502	0.0064
Sensor	51.5255	6.2356	0.0054
Sensor	59.7937	6.1293	0.0062
Sensor	4.4222	29.2215	0.0033
Sensor	12.3934	28.4960	0.0045
Sensor	20.3738	27.8750	0.0034
Sensor	28.3612	27.3586	0.0046
Sensor	36.3548	26.9454	0.0040
Sensor	44.3533	26.6386	0.0033
Sensor	52.3549	26.4365	0.0026
Sensor	60.3569	26.3396	-0.0038
Sensor	68.3612	26.3474	-0.0009
Sensor	76.3647	26.4585	0.0018
Sensor	84.3660	26.6762	0.0048
Sensor	92.3636	26.9986	0.0051
Sensor	100.3564	27.4260	0.0038
Sensor	108.3432	27.9579	0.0051
Sensor	116.3219	28.5947	0.0043
Sensor	124.2917	29.3341	0.0058
Sensor	5.1321	35.0818	0.0028
Sensor	13.0247	34.3653	0.0039
Sensor	20.9278	33.7519	0.0045
Sensor	28.8382	33.2423	0.0048
Sensor	36.7546	32.8348	0.0027
Sensor	44.6755	32.5328	-0.0019
Sensor	52.5998	32.3345	0.0015
Sensor	60.5260	32.2403	0.0004
Sensor	68.4528	32.2498	0.0010
Sensor	76.3787	32.3632	-0.0041
Sensor	84.3025	32.5805	0.0015
Sensor	92.2228	32.9016	0.0040
Sensor	100.1382	33.3265	0.0040
Sensor	108.0473	33.8553	0.0026
Sensor	115.9488	34.4876	0.0013
Sensor	123.8414	35.2233	0.0040
Sensor	6.1819	43.7298	-0.0024
Sensor	13.9629	43.0259	0.0036
Sensor	21.7524	42.4241	0.0041
Sensor	29.5492	41.9245	0.0032
Sensor	37.3517	41.5270	0.0023
Sensor	45.1589	41.2319	0.0034
Sensor	52.9693	41.0391	0.0016
Sensor	60.7815	40.9487	-0.0029
Sensor	68.5926	40.9608	-0.0013
Sensor	76.4045	41.0751	0.0013
Sensor	84.2142	41.2903	0.0012
Sensor	92.0204	41.6095	-0.0030
Sensor	99.8218	42.0308	0.0030
Sensor	107.6169	42.5545	0.0018
Sensor	115.4046	43.1802	0.0014
Sensor	123.1835	43.9080	-0.0016
Sensor	7.2119	52.3702	-0.0019
Sensor	14.8778	51.6790	-0.0007
Sensor	22.5537	51.0884	0.0002
Sensor	30.2366	50.5986	0.0054
Sensor	37.9253	50.2094	0.0048
Sensor	45.6186	49.9211	0.0001
Sensor	53.3149	49.7336	0.0018
Sensor	61.0129	49.6470	-0.0023
Sensor	68.7115	49.6613	0.0016
Sensor	76.4092	49.7765	-0.0042
Sensor	84.1048	49.9926	0.0015
Sensor	91.7969	50.3096	0.0010
Sensor	99.4842	50.7273	0.0014
Sensor	107.1652	51.2458	0.0014
Sensor	114.8388	51.8649	-0.0001
Sensor	122.5037	52.5845	-0.0030
Sensor	8.2500	61.0119	-0.0042
Sensor	15.8042	60.3337	-0.0011
Sensor	23.3664	59.7546	-0.0010
Sensor	30.9356	59.2746	0.0004
Sensor	38.5105	58.8938	-0.0002
Sensor	46.0897	58.6124	0.0000
Sensor	53.6720	58.4304	-0.0006
Sensor	61.2560	58.3477	-0.0029
Sensor	68.8403	58.3644	-0.0056
Sensor	76.4238	58.4791	-0.0054
Sensor	84.0052	58.6945	-0.0060
Sensor	91.5846	59.0094	-0.0063
Sensor	99.1578	59.4236	-0.0073
Sensor	106.7248	59.9370	-0.0063
Sensor	114.2845	60.5496	-0.0085
Sensor	121.8354	61.2611	-0.0084
