#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2Sample
Date: 2022-11-03T21:29:12.908643Z
Institute: TRIUMF
Operator: TRIUMF
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9999	0.5000	0.0044
Sensor	9.3477	-0.2698	0.0005
Sensor	17.7049	-0.9285	-0.0064
Sensor	26.0701	-1.4776	-0.0032
Sensor	34.4418	-1.9171	-0.0074
Sensor	42.8184	-2.2467	-0.0110
Sensor	51.1986	-2.4665	-0.0093
Sensor	59.5812	-2.5764	-0.0092
Sensor	43.2608	6.4510	0.0050
Sensor	51.5254	6.2366	0.0044
Sensor	59.7938	6.1303	0.0048
Sensor	4.4233	29.2218	0.0136
Sensor	12.3928	28.4949	0.0102
Sensor	20.3729	27.8739	0.0073
Sensor	28.3605	27.3574	0.0004
Sensor	36.3542	26.9458	-0.0016
Sensor	44.3526	26.6390	0.0010
Sensor	52.3543	26.4370	-0.0048
Sensor	60.3578	26.3383	-0.0026
Sensor	68.3619	26.3462	-0.0008
Sensor	76.3654	26.4590	-0.0001
Sensor	84.3667	26.6765	-0.0027
Sensor	92.3645	26.9991	-0.0008
Sensor	100.3557	27.4266	0.0055
Sensor	108.3420	27.9570	0.0045
Sensor	116.3210	28.5937	0.0062
Sensor	124.2909	29.3349	0.0082
Sensor	5.1322	35.0822	0.0118
Sensor	13.0249	34.3655	0.0090
Sensor	20.9279	33.7523	0.0052
Sensor	28.8383	33.2427	0.0023
Sensor	36.7547	32.8370	0.0014
Sensor	44.6756	32.5348	-0.0052
Sensor	52.6000	32.3366	-0.0064
Sensor	60.5259	32.2406	-0.0070
Sensor	68.4528	32.2501	-0.0069
Sensor	76.3787	32.3637	-0.0075
Sensor	84.3025	32.5810	-0.0057
Sensor	92.2227	32.9022	-0.0001
Sensor	100.1381	33.3271	0.0033
Sensor	108.0470	33.8540	0.0052
Sensor	115.9501	34.4862	0.0052
Sensor	123.8427	35.2220	0.0079
Sensor	6.1830	43.7307	0.0088
Sensor	13.9622	43.0254	0.0037
Sensor	21.7517	42.4234	0.0060
Sensor	29.5485	41.9239	0.0034
Sensor	37.3511	41.5264	0.0016
Sensor	45.1582	41.2314	-0.0012
Sensor	52.9686	41.0385	-0.0017
Sensor	60.7808	40.9481	-0.0034
Sensor	68.5935	40.9601	-0.0082
Sensor	76.4054	41.0745	-0.0060
Sensor	84.2151	41.2913	-0.0059
Sensor	92.0215	41.6105	0.0023
Sensor	99.8209	42.0304	0.0031
Sensor	107.6161	42.5541	0.0049
Sensor	115.4037	43.1798	0.0052
Sensor	123.1825	43.9076	0.0098
Sensor	7.2119	52.3710	0.0062
Sensor	14.8778	51.6800	0.0091
Sensor	22.5537	51.0897	0.0048
Sensor	30.2367	50.5996	-0.0022
Sensor	37.9255	50.2104	-0.0049
Sensor	45.6186	49.9221	-0.0067
Sensor	53.3149	49.7346	-0.0021
Sensor	61.0130	49.6481	-0.0028
Sensor	68.7116	49.6623	-0.0068
Sensor	76.4093	49.7775	-0.0074
Sensor	84.1049	49.9937	-0.0001
Sensor	91.7969	50.3106	0.0033
Sensor	99.4840	50.7268	0.0017
Sensor	107.1651	51.2452	0.0056
Sensor	114.8388	51.8643	0.0039
Sensor	122.5036	52.5840	0.0080
Sensor	8.2509	61.0129	0.0043
Sensor	15.8031	60.3332	0.0021
Sensor	23.3654	59.7541	-0.0021
Sensor	30.9362	59.2739	-0.0032
Sensor	38.5111	58.8931	-0.0071
Sensor	46.0903	58.6118	-0.0096
Sensor	53.6725	58.4296	-0.0100
Sensor	61.2565	58.3470	-0.0098
Sensor	68.8409	58.3638	-0.0088
Sensor	76.4245	58.4799	-0.0080
Sensor	84.0058	58.6955	-0.0064
Sensor	91.5837	59.0103	-0.0042
Sensor	99.1568	59.4246	-0.0013
Sensor	106.7236	59.9364	-0.0007
Sensor	114.2832	60.5489	0.0006
Sensor	121.8358	61.2603	0.0034
