#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2Sample
Date: 2022-11-08T23:03:08.600944Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo_CMM
Run Number: 2
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.7015	1.1032	0.0110
Sensor	9.0413	0.3312	0.0075
Sensor	17.3909	-0.3317	0.0037
Sensor	25.7483	-0.8850	0.0016
Sensor	34.1123	-1.3287	0.0004
Sensor	42.4814	-1.6627	-0.0027
Sensor	50.8540	-1.8870	-0.0026
Sensor	59.2291	-2.0015	-0.0016
Sensor	43.2607	6.4511	0.0008
Sensor	51.5255	6.2366	-0.0012
Sensor	59.7938	6.1303	-0.0012
Sensor	4.4234	29.2219	0.0093
Sensor	12.3929	28.4949	0.0062
Sensor	20.3730	27.8737	-0.0023
Sensor	28.3605	27.3573	0.0031
Sensor	36.3542	26.9458	0.0001
Sensor	44.3525	26.6389	-0.0073
Sensor	52.3543	26.4370	-0.0053
Sensor	60.3577	26.3383	-0.0057
Sensor	68.3620	26.3462	-0.0065
Sensor	76.3654	26.4590	-0.0108
Sensor	84.3669	26.6765	-0.0039
Sensor	92.3644	26.9990	-0.0013
Sensor	100.3574	27.4264	0.0031
Sensor	108.3421	27.9569	0.0022
Sensor	116.3210	28.5936	0.0033
Sensor	124.2908	29.3348	0.0056
Sensor	5.1322	35.0823	0.0032
Sensor	13.0250	34.3656	0.0070
Sensor	20.9278	33.7524	0.0031
Sensor	28.8382	33.2427	-0.0035
Sensor	36.7546	32.8369	-0.0006
Sensor	44.6756	32.5349	-0.0039
Sensor	52.6000	32.3366	-0.0029
Sensor	60.5260	32.2408	-0.0045
Sensor	68.4527	32.2502	-0.0089
Sensor	76.3787	32.3636	-0.0039
Sensor	84.3025	32.5810	-0.0029
Sensor	92.2226	32.9022	0.0013
Sensor	100.1397	33.3269	0.0005
Sensor	108.0471	33.8541	0.0027
Sensor	115.9501	34.4863	0.0021
Sensor	123.8427	35.2220	0.0065
Sensor	6.1830	43.7306	0.0036
Sensor	13.9622	43.0254	0.0029
Sensor	21.7517	42.4235	-0.0016
Sensor	29.5484	41.9239	-0.0026
Sensor	37.3511	41.5264	-0.0006
Sensor	45.1582	41.2313	-0.0040
Sensor	52.9686	41.0385	-0.0060
Sensor	60.7807	40.9482	-0.0055
Sensor	68.5936	40.9601	-0.0095
Sensor	76.4055	41.0745	-0.0083
Sensor	84.2152	41.2913	-0.0045
Sensor	92.0214	41.6104	0.0026
Sensor	99.8210	42.0305	0.0032
Sensor	107.6161	42.5541	0.0036
Sensor	115.4037	43.1798	0.0025
Sensor	123.1826	43.9076	0.0082
Sensor	7.2119	52.3711	0.0108
Sensor	14.8778	51.6801	0.0076
Sensor	22.5537	51.0895	0.0030
Sensor	30.2366	50.5998	0.0016
Sensor	37.9255	50.2105	-0.0011
Sensor	45.6186	49.9221	-0.0052
Sensor	53.3150	49.7346	-0.0044
Sensor	61.0131	49.6481	-0.0032
Sensor	68.7116	49.6623	-0.0070
Sensor	76.4094	49.7775	-0.0085
Sensor	84.1048	49.9937	-0.0002
Sensor	91.7969	50.3106	0.0031
Sensor	99.4842	50.7283	0.0041
Sensor	107.1651	51.2452	0.0043
Sensor	114.8388	51.8643	0.0057
Sensor	122.5036	52.5840	0.0050
Sensor	8.2510	61.0129	0.0050
Sensor	15.8032	60.3332	0.0042
Sensor	23.3654	59.7541	0.0002
Sensor	30.9346	59.2739	-0.0031
Sensor	38.5111	58.8932	-0.0003
Sensor	46.0904	58.6117	-0.0044
Sensor	53.6725	58.4297	-0.0093
Sensor	61.2566	58.3469	-0.0024
Sensor	68.8409	58.3637	-0.0077
Sensor	76.4243	58.4800	-0.0056
Sensor	84.0059	58.6954	-0.0018
Sensor	91.5837	59.0103	0.0043
Sensor	99.1567	59.4246	0.0064
Sensor	106.7238	59.9379	0.0021
Sensor	114.2833	60.5490	0.0026
Sensor	121.8359	61.2603	0.0095
