#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2Sample_TRIUMF_TestFrame
Date: 2022-11-08T22:32:47.422436Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9999	0.4984	-0.0089
Sensor	9.3479	-0.2682	-0.0051
Sensor	17.7051	-0.9269	-0.0041
Sensor	26.0702	-1.4760	-0.0080
Sensor	34.4419	-1.9154	-0.0055
Sensor	42.8186	-2.2451	-0.0043
Sensor	51.1989	-2.4648	-0.0074
Sensor	59.5812	-2.5764	-0.0085
Sensor	43.2607	6.4503	0.0079
Sensor	51.5253	6.2356	0.0050
Sensor	59.7937	6.1293	0.0075
Sensor	4.4221	29.2218	-0.0003
Sensor	12.3934	28.4961	0.0030
Sensor	20.3737	27.8751	0.0019
Sensor	28.3609	27.3587	0.0055
Sensor	36.3548	26.9455	0.0045
Sensor	44.3532	26.6385	0.0048
Sensor	52.3550	26.4366	0.0043
Sensor	60.3569	26.3396	0.0008
Sensor	68.3612	26.3474	0.0003
Sensor	76.3646	26.4585	0.0020
Sensor	84.3659	26.6763	0.0020
Sensor	92.3637	26.9987	0.0033
Sensor	100.3565	27.4260	0.0010
Sensor	108.3431	27.9581	-0.0002
Sensor	116.3220	28.5947	-0.0013
Sensor	124.2918	29.3342	-0.0026
Sensor	5.1321	35.0820	-0.0001
Sensor	13.0247	34.3652	-0.0011
Sensor	20.9277	33.7520	0.0026
Sensor	28.8380	33.2424	0.0035
Sensor	36.7545	32.8348	0.0012
Sensor	44.6755	32.5328	0.0042
Sensor	52.5998	32.3346	0.0032
Sensor	60.5260	32.2402	0.0025
Sensor	68.4527	32.2497	0.0018
Sensor	76.3787	32.3632	0.0017
Sensor	84.3025	32.5806	0.0022
Sensor	92.2228	32.9017	0.0019
Sensor	100.1380	33.3267	0.0018
Sensor	108.0473	33.8554	-0.0018
Sensor	115.9487	34.4876	-0.0021
Sensor	123.8413	35.2217	-0.0011
Sensor	6.1819	43.7298	-0.0005
Sensor	13.9629	43.0261	0.0002
Sensor	21.7524	42.4242	-0.0019
Sensor	29.5492	41.9245	0.0003
Sensor	37.3517	41.5270	0.0032
Sensor	45.1590	41.2319	0.0042
Sensor	52.9693	41.0391	0.0054
Sensor	60.7799	40.9487	0.0045
Sensor	68.5925	40.9607	0.0026
Sensor	76.4045	41.0752	0.0034
Sensor	84.2143	41.2903	-0.0016
Sensor	92.0204	41.6095	0.0032
Sensor	99.8219	42.0309	0.0029
Sensor	107.6169	42.5545	0.0003
Sensor	115.4046	43.1803	-0.0035
Sensor	123.1835	43.9080	-0.0009
Sensor	7.2118	52.3701	-0.0080
Sensor	14.8778	51.6790	-0.0007
Sensor	22.5537	51.0885	0.0006
Sensor	30.2365	50.5986	-0.0024
Sensor	37.9253	50.2094	0.0039
Sensor	45.6186	49.9211	0.0058
Sensor	53.3149	49.7337	0.0031
Sensor	61.0131	49.6470	0.0044
Sensor	68.7115	49.6614	0.0022
Sensor	76.4092	49.7766	0.0026
Sensor	84.1047	49.9926	0.0030
Sensor	91.7969	50.3096	0.0038
Sensor	99.4842	50.7273	0.0015
Sensor	107.1652	51.2458	-0.0051
Sensor	114.8390	51.8649	-0.0014
Sensor	122.5038	52.5845	-0.0071
Sensor	8.2500	61.0119	-0.0101
Sensor	15.8041	60.3337	-0.0073
Sensor	23.3664	59.7545	-0.0061
Sensor	30.9357	59.2745	-0.0041
Sensor	38.5105	58.8939	0.0023
Sensor	46.0897	58.6126	-0.0011
Sensor	53.6720	58.4303	0.0041
Sensor	61.2559	58.3477	0.0019
Sensor	68.8402	58.3628	0.0014
Sensor	76.4238	58.4790	-0.0018
Sensor	84.0053	58.6946	-0.0001
Sensor	91.5831	59.0094	-0.0008
Sensor	99.1578	59.4236	-0.0014
Sensor	106.7249	59.9370	-0.0068
Sensor	114.2845	60.5495	-0.0080
Sensor	121.8355	61.2612	-0.0078
