#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2Test2
Date: 2022-09-08T22:26:50.250872Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 0908
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.2080	29.7267	0.0010
Sensor	19.2323	28.9166	-0.0015
Sensor	29.1016	28.2747	-0.0000
Sensor	39.2869	27.7743	0.0007
Sensor	49.3257	27.4486	0.0007
Sensor	59.3603	27.3034	-0.0001
Sensor	69.3924	27.2976	-0.0016
Sensor	79.4193	27.4714	-0.0005
Sensor	89.5964	27.8210	0.0011
Sensor	99.6144	28.3205	0.0008
Sensor	109.6081	28.9999	0.0005
Sensor	119.7502	29.8589	-0.0009
