#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2164SFU
Date: 2023-04-20T17:36:18.229Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9975	0.4956	-0.0031
Sensor	9.3476	-0.2666	-0.0024
Sensor	17.7057	-0.9249	-0.0007
Sensor	26.0722	-1.4747	0.0006
Sensor	34.4422	-1.9145	0.0023
Sensor	42.8200	-2.2435	0.0033
Sensor	51.1994	-2.4634	0.0036
Sensor	59.5814	-2.5745	0.0032
Sensor	67.9647	-2.5744	0.0031
Sensor	76.3473	-2.4642	0.0024
Sensor	84.7277	-2.2440	0.0013
Sensor	93.1051	-1.9150	0.0003
Sensor	101.4760	-1.4765	-0.0006
Sensor	109.8442	-0.9273	-0.0017
Sensor	118.1999	-0.2678	-0.0031
Sensor	126.5482	0.4981	-0.0037
Sensor	43.2694	6.4481	0.0003
Sensor	51.5374	6.2362	0.0008
Sensor	59.8063	6.1301	-0.0000
Sensor	4.4447	29.2115	-0.0026
Sensor	12.4174	28.4868	-0.0014
Sensor	20.3975	27.8649	-0.0019
Sensor	28.3860	27.3492	-0.0012
Sensor	36.3784	26.9378	0.0007
Sensor	44.3764	26.6295	0.0008
Sensor	52.3789	26.4286	0.0004
Sensor	60.3832	26.3315	-0.0003
Sensor	68.3866	26.3388	-0.0009
Sensor	76.3898	26.4524	-0.0008
Sensor	84.3914	26.6701	-0.0002
Sensor	92.3896	26.9920	-0.0001
Sensor	100.3823	27.4206	-0.0001
Sensor	108.3684	27.9513	-0.0002
Sensor	116.3475	28.5885	-0.0008
Sensor	124.3189	29.3294	-0.0019
Sensor	5.1507	35.0784	-0.0023
Sensor	13.0501	34.3640	-0.0022
Sensor	20.9501	33.7513	-0.0008
Sensor	28.8599	33.2422	-0.0001
Sensor	36.7769	32.8359	0.0012
Sensor	44.6990	32.5335	0.0014
Sensor	52.6220	32.3353	0.0008
Sensor	60.5482	32.2405	-0.0006
Sensor	68.4756	32.2504	-0.0008
Sensor	76.4030	32.3646	-0.0003
Sensor	84.3244	32.5807	-0.0003
Sensor	92.2450	32.9030	0.0004
Sensor	100.1605	33.3267	0.0007
Sensor	108.0706	33.8572	0.0003
Sensor	115.9708	34.4884	-0.0003
Sensor	123.8659	35.2234	-0.0012
Sensor	6.1891	43.7199	-0.0007
Sensor	13.9719	43.0179	-0.0006
Sensor	21.7612	42.4159	-0.0017
Sensor	29.5583	41.9169	-0.0005
Sensor	37.3601	41.5194	0.0010
Sensor	45.1671	41.2237	0.0016
Sensor	52.9786	41.0312	0.0008
Sensor	60.7903	40.9408	0.0006
Sensor	68.6028	40.9517	-0.0002
Sensor	76.4156	41.0677	-0.0006
Sensor	84.2246	41.2829	-0.0002
Sensor	92.0304	41.6037	-0.0001
Sensor	99.8321	42.0239	-0.0004
Sensor	107.6275	42.5469	0.0003
Sensor	115.4145	43.1736	0.0006
Sensor	123.1945	43.9018	0.0001
Sensor	7.2113	52.3738	0.0013
Sensor	14.8813	51.6843	-0.0006
Sensor	22.5607	51.0935	-0.0012
Sensor	30.2400	50.6036	0.0001
Sensor	37.9288	50.2144	0.0010
Sensor	45.6226	49.9247	0.0017
Sensor	53.3179	49.7386	0.0004
Sensor	61.0176	49.6522	0.0001
Sensor	68.7156	49.6669	0.0000
Sensor	76.4125	49.7808	0.0002
Sensor	84.1098	49.9955	0.0003
Sensor	91.7999	50.3141	0.0003
Sensor	99.4875	50.7317	0.0006
Sensor	107.1685	51.2497	0.0006
Sensor	114.8416	51.8691	0.0010
Sensor	122.5092	52.5882	0.0004
Sensor	8.2602	61.0189	0.0021
Sensor	15.8154	60.3431	0.0003
Sensor	23.3767	59.7648	-0.0001
Sensor	30.9466	59.2845	0.0001
Sensor	38.5215	58.9035	0.0002
Sensor	46.1006	58.6218	0.0004
Sensor	53.6828	58.4399	0.0006
Sensor	61.2662	58.3576	-0.0003
Sensor	68.8512	58.3730	0.0001
Sensor	76.4338	58.4898	-0.0001
Sensor	84.0169	58.7051	0.0000
Sensor	91.5936	59.0208	-0.0001
Sensor	99.1671	59.4347	-0.0003
Sensor	106.7348	59.9470	0.0003
Sensor	114.2930	60.5607	0.0000
Sensor	121.8455	61.2715	-0.0004
