#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2164TRIUMF
Date: 2023-04-20T17:36:19.968Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.7010	0.2500	-0.0109
Sensor	9.0521	-0.5221	-0.0108
Sensor	17.4127	-1.1847	-0.0045
Sensor	25.7815	-1.7374	-0.0026
Sensor	34.1564	-2.1806	-0.0053
Sensor	42.5366	-2.5141	0.0012
Sensor	50.9205	-2.7375	-0.0039
Sensor	59.3065	-2.8511	-0.0008
Sensor	43.2607	6.4511	-0.0022
Sensor	51.5253	6.2367	0.0020
Sensor	59.7939	6.1304	0.0034
Sensor	4.4235	29.2220	-0.0023
Sensor	12.3929	28.4949	-0.0061
Sensor	20.3732	27.8739	-0.0000
Sensor	28.3606	27.3576	0.0023
Sensor	36.3543	26.9460	0.0048
Sensor	44.3526	26.6392	0.0058
Sensor	52.3542	26.4356	0.0032
Sensor	60.3578	26.3385	0.0018
Sensor	68.3620	26.3464	0.0030
Sensor	76.3656	26.4591	0.0022
Sensor	84.3668	26.6767	0.0023
Sensor	92.3646	26.9992	0.0011
Sensor	100.3556	27.4250	0.0048
Sensor	108.3421	27.9571	0.0035
Sensor	116.3210	28.5938	0.0072
Sensor	124.2908	29.3349	0.0045
Sensor	5.1322	35.0824	-0.0023
Sensor	13.0249	34.3658	-0.0015
Sensor	20.9279	33.7525	-0.0018
Sensor	28.8383	33.2430	0.0015
Sensor	36.7547	32.8371	0.0015
Sensor	44.6756	32.5351	0.0032
Sensor	52.5998	32.3352	0.0032
Sensor	60.5259	32.2409	0.0025
Sensor	68.4528	32.2504	0.0026
Sensor	76.3786	32.3639	0.0007
Sensor	84.3024	32.5812	0.0025
Sensor	92.2227	32.9023	-0.0006
Sensor	100.1397	33.3271	0.0015
Sensor	108.0470	33.8543	0.0048
Sensor	115.9502	34.4864	0.0033
Sensor	123.8427	35.2221	0.0054
Sensor	6.1831	43.7307	0.0015
Sensor	13.9622	43.0256	0.0010
Sensor	21.7518	42.4237	0.0002
Sensor	29.5485	41.9239	0.0021
Sensor	37.3512	41.5265	0.0039
Sensor	45.1583	41.2315	0.0039
Sensor	52.9687	41.0386	0.0047
Sensor	60.7809	40.9482	0.0025
Sensor	68.5936	40.9601	0.0010
Sensor	76.4055	41.0745	-0.0007
Sensor	84.2153	41.2914	-0.0010
Sensor	92.0199	41.6107	-0.0003
Sensor	99.8210	42.0305	-0.0011
Sensor	107.6162	42.5542	0.0010
Sensor	115.4038	43.1799	-0.0020
Sensor	123.1825	43.9077	0.0001
Sensor	7.2118	52.3711	0.0033
Sensor	14.8778	51.6801	0.0027
Sensor	22.5538	51.0896	0.0011
Sensor	30.2367	50.5996	0.0008
Sensor	37.9255	50.2105	-0.0001
Sensor	45.6187	49.9222	0.0029
Sensor	53.3149	49.7347	0.0018
Sensor	61.0131	49.6481	-0.0032
Sensor	68.7116	49.6625	-0.0023
Sensor	76.4093	49.7775	-0.0048
Sensor	84.1050	49.9938	-0.0022
Sensor	91.7969	50.3107	-0.0039
Sensor	99.4840	50.7268	-0.0038
Sensor	107.1651	51.2453	-0.0018
Sensor	114.8388	51.8645	-0.0017
Sensor	122.5037	52.5840	-0.0003
Sensor	8.2508	61.0130	0.0067
Sensor	15.8029	60.3333	0.0045
Sensor	23.3670	59.7540	0.0028
Sensor	30.9362	59.2740	0.0028
Sensor	38.5110	58.8932	0.0018
Sensor	46.0903	58.6119	-0.0038
Sensor	53.6724	58.4298	0.0009
Sensor	61.2565	58.3471	-0.0029
Sensor	68.8408	58.3638	-0.0019
Sensor	76.4243	58.4800	-0.0086
Sensor	84.0057	58.6954	-0.0080
Sensor	91.5836	59.0104	-0.0059
Sensor	99.1565	59.4232	-0.0068
Sensor	106.7236	59.9365	-0.0067
Sensor	114.2832	60.5489	-0.0055
Sensor	121.8358	61.2603	-0.0050
