#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: ads
Date: 2022-08-10T01:24:10.849384Z
Institute: SFU
Operator: fa
Instrument Type: Smartscope_Flash_302
Run Number: 231
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3501	-0.2677	0.0151
Sensor	17.7067	-0.9265	0.0145
Sensor	26.0708	-1.4753	0.0118
Sensor	34.4436	-1.9149	0.0100
Sensor	42.8210	-2.2451	0.0108
Sensor	51.2005	-2.4653	0.0100
Sensor	59.5836	-2.5747	0.0081
Sensor	67.9670	-2.5748	0.0081
Sensor	76.3491	-2.4654	0.0072
Sensor	84.7296	-2.2461	0.0054
Sensor	93.1064	-1.9165	0.0063
Sensor	101.4780	-1.4766	0.0059
Sensor	109.8428	-0.9280	0.0061
Sensor	118.1997	-0.2692	0.0069
Sensor	126.5475	0.4992	0.0078
Sensor	43.2705	6.4503	-0.0038
Sensor	51.5351	6.2356	-0.0094
Sensor	59.8040	6.1292	-0.0134
Sensor	4.4438	29.2107	-0.0009
Sensor	12.4156	28.4843	-0.0020
Sensor	20.3946	27.8637	0.0036
Sensor	28.3836	27.3473	-0.0062
Sensor	36.3771	26.9357	-0.0097
Sensor	44.3762	26.6288	-0.0114
Sensor	52.3779	26.4268	-0.0149
Sensor	60.3809	26.3297	-0.0117
Sensor	68.3846	26.3378	-0.0096
Sensor	76.3890	26.4504	-0.0160
Sensor	84.3907	26.6676	-0.0199
Sensor	92.3878	26.9897	-0.0072
Sensor	100.3805	27.4175	-0.0095
Sensor	108.3679	27.9490	-0.0075
Sensor	116.3465	28.5867	-0.0084
Sensor	124.3157	29.3279	-0.0023
Sensor	5.1501	35.0803	-0.0040
Sensor	13.0447	34.3634	-0.0089
Sensor	20.9476	33.7500	-0.0007
Sensor	28.8563	33.2407	-0.0001
Sensor	36.7734	32.8345	-0.0099
Sensor	44.6950	32.5327	-0.0076
Sensor	52.6195	32.3336	-0.0101
Sensor	60.5452	32.2388	-0.0091
Sensor	68.4720	32.2487	-0.0076
Sensor	76.3975	32.3623	-0.0091
Sensor	84.3220	32.5797	-0.0041
Sensor	92.2412	32.9017	-0.0072
Sensor	100.1568	33.3261	-0.0039
Sensor	108.0655	33.8540	-0.0026
Sensor	115.9680	34.4865	-0.0032
Sensor	123.8612	35.2228	0.0019
Sensor	6.1902	43.7196	-0.0047
Sensor	13.9720	43.0161	-0.0012
Sensor	21.7613	42.4144	-0.0029
Sensor	29.5580	41.9146	-0.0041
Sensor	37.3595	41.5172	0.0020
Sensor	45.1692	41.2217	0.0035
Sensor	52.9778	41.0292	-0.0034
Sensor	60.7893	40.9385	-0.0012
Sensor	68.6043	40.9505	-0.0054
Sensor	76.4150	41.0641	-0.0007
Sensor	84.2251	41.2819	-0.0029
Sensor	92.0304	41.6008	-0.0025
Sensor	99.8310	42.0218	0.0003
Sensor	107.6278	42.5459	0.0022
Sensor	115.4137	43.1722	0.0029
Sensor	123.1933	43.8989	-0.0042
Sensor	7.2200	52.3696	0.0013
Sensor	14.8888	51.6789	-0.0013
Sensor	22.5635	51.0885	0.0013
Sensor	30.2469	50.5983	-0.0053
Sensor	37.9355	50.2093	-0.0018
Sensor	45.6286	49.9210	0.0041
Sensor	53.3264	49.7326	0.0065
Sensor	61.0230	49.6468	-0.0013
Sensor	68.7224	49.6606	0.0033
Sensor	76.4205	49.7759	0.0049
Sensor	84.1150	49.9912	0.0058
Sensor	91.8079	50.3092	0.0060
Sensor	99.4952	50.7266	0.0039
Sensor	107.1765	51.2452	0.0020
Sensor	114.8496	51.8645	0.0053
Sensor	122.5153	52.5830	0.0005
Sensor	8.2590	61.0202	0.0165
Sensor	15.8126	60.3421	0.0098
Sensor	23.3764	59.7629	0.0077
Sensor	30.9438	59.2829	0.0047
Sensor	38.5198	58.9019	0.0028
Sensor	46.0991	58.6203	0.0014
Sensor	53.6818	58.4395	0.0027
Sensor	61.2661	58.3556	-0.0007
Sensor	68.8489	58.3719	0.0015
Sensor	76.4335	58.4891	0.0069
Sensor	84.0153	58.7038	0.0055
Sensor	91.5934	59.0200	0.0057
Sensor	99.1658	59.4329	0.0074
Sensor	106.7334	59.9463	0.0088
Sensor	114.2936	60.5602	0.0123
Sensor	121.8435	61.2703	0.0064
