#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: da
Date: 2022-12-09T21:10:52.340Z
Institute: SFU
Operator: SA
Instrument type: Smartscope_Flash_302
Run Number: 2
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9983	0.5003	-0.0001
Sensor	9.3491	-0.2667	0.0100
Sensor	17.7064	-0.9248	0.0207
Sensor	26.0716	-1.4743	0.0299
Sensor	34.4436	-1.9137	0.0376
Sensor	42.8209	-2.2432	0.0436
Sensor	51.2001	-2.4636	0.0493
Sensor	59.5829	-2.5731	0.0546
Sensor	67.9660	-2.5731	0.0629
Sensor	76.3484	-2.4638	0.0648
Sensor	84.7290	-2.2444	0.0590
Sensor	93.1060	-1.9145	0.0568
Sensor	101.4779	-1.4762	0.0572
Sensor	109.8430	-0.9263	0.0550
Sensor	118.2008	-0.2684	0.0500
Sensor	126.5481	0.4998	0.0436
Sensor	43.2667	6.4480	-0.0182
Sensor	51.5385	6.2373	-0.0120
Sensor	59.8062	6.1309	-0.0079
Sensor	4.4441	29.2116	-0.2091
Sensor	12.4181	28.4863	-0.2005
Sensor	20.3988	27.8656	-0.1939
Sensor	28.3853	27.3493	-0.1873
Sensor	36.3794	26.9381	-0.1819
Sensor	44.3781	26.6319	-0.1768
Sensor	52.3796	26.4294	-0.1721
Sensor	60.3838	26.3321	-0.1674
Sensor	68.3875	26.3394	-0.1641
Sensor	76.3911	26.4522	-0.1617
Sensor	84.3923	26.6704	-0.1601
Sensor	92.3901	26.9932	-0.1602
Sensor	100.3824	27.4210	-0.1607
Sensor	108.3688	27.9517	-0.1627
Sensor	116.3492	28.5885	-0.1647
Sensor	124.3179	29.3303	-0.1682
Sensor	5.1503	35.0779	-0.2562
Sensor	13.0472	34.3651	-0.2491
Sensor	20.9507	33.7520	-0.2427
Sensor	28.8609	33.2428	-0.2355
Sensor	36.7778	32.8370	-0.2303
Sensor	44.6991	32.5343	-0.2259
Sensor	52.6219	32.3361	-0.2218
Sensor	60.5490	32.2414	-0.2176
Sensor	68.4766	32.2509	-0.2134
Sensor	76.4022	32.3637	-0.2107
Sensor	84.3255	32.5823	-0.2092
Sensor	92.2466	32.9032	-0.2097
Sensor	100.1624	33.3263	-0.2103
Sensor	108.0699	33.8565	-0.2124
Sensor	115.9728	34.4887	-0.2147
Sensor	123.8652	35.2252	-0.2185
Sensor	6.1859	43.7182	-0.3278
Sensor	13.9712	43.0183	-0.3205
Sensor	21.7625	42.4167	-0.3144
Sensor	29.5589	41.9167	-0.3086
Sensor	37.3605	41.5192	-0.3034
Sensor	45.1689	41.2244	-0.2990
Sensor	52.9800	41.0316	-0.2945
Sensor	60.7916	40.9415	-0.2898
Sensor	68.6028	40.9536	-0.2862
Sensor	76.4162	41.0666	-0.2838
Sensor	84.2250	41.2835	-0.2827
Sensor	92.0305	41.6035	-0.2823
Sensor	99.8342	42.0253	-0.2840
Sensor	107.6269	42.5472	-0.2854
Sensor	115.4153	43.1737	-0.2880
Sensor	123.1953	43.9018	-0.2917
Sensor	7.2114	52.3717	-0.4005
Sensor	14.8820	51.6850	-0.3935
Sensor	22.5597	51.0944	-0.3872
Sensor	30.2406	50.6047	-0.3815
Sensor	37.9307	50.2153	-0.3753
Sensor	45.6230	49.9270	-0.3710
Sensor	53.3191	49.7386	-0.3666
Sensor	61.0183	49.6516	-0.3630
Sensor	68.7155	49.6671	-0.3598
Sensor	76.4136	49.7818	-0.3579
Sensor	84.1103	49.9974	-0.3573
Sensor	91.8009	50.3147	-0.3578
Sensor	99.4889	50.7314	-0.3586
Sensor	107.1693	51.2508	-0.3604
Sensor	114.8426	51.8691	-0.3624
Sensor	122.5080	52.5886	-0.3675
Sensor	8.2581	61.0185	-0.4736
Sensor	15.8151	60.3439	-0.4661
Sensor	23.3770	59.7642	-0.4589
Sensor	30.9478	59.2843	-0.4535
Sensor	38.5216	58.9042	-0.4483
Sensor	46.1016	58.6230	-0.4436
Sensor	53.6839	58.4406	-0.4397
Sensor	61.2670	58.3579	-0.4368
Sensor	68.8530	58.3738	-0.4339
Sensor	76.4347	58.4895	-0.4324
Sensor	84.0180	58.7060	-0.4324
Sensor	91.5943	59.0210	-0.4325
Sensor	99.1683	59.4350	-0.4327
Sensor	106.7344	59.9472	-0.4343
Sensor	114.2942	60.5599	-0.4366
Sensor	121.8450	61.2723	-0.4407
