#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: das
Date: 2022-08-10T02:11:19.795892Z
Institute: SFU
Operator: sda
Instrument Type: Smartscope_Flash_302
Run Number: 21421
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3500	-0.2677	-0.0731
Sensor	17.7070	-0.9262	-0.0404
Sensor	26.0721	-1.4754	-0.0170
Sensor	34.4438	-1.9143	0.0014
Sensor	42.8207	-2.2446	0.0172
Sensor	51.2003	-2.4640	0.0280
Sensor	59.5834	-2.5739	0.0335
Sensor	67.9661	-2.5753	0.0352
Sensor	76.3490	-2.4648	0.0394
Sensor	84.7294	-2.2445	0.0359
Sensor	93.1064	-1.9159	0.0262
Sensor	101.4786	-1.4769	0.0052
Sensor	109.8432	-0.9277	-0.0239
Sensor	118.2006	-0.2695	-0.0649
Sensor	126.5475	0.4982	-0.1172
Sensor	43.2691	6.4505	0.0257
Sensor	51.5368	6.2356	0.0258
Sensor	59.8033	6.1291	0.0330
Sensor	4.4440	29.2101	-0.1048
Sensor	12.4167	28.4845	-0.0592
Sensor	20.3956	27.8634	-0.0215
Sensor	28.3843	27.3475	0.0048
Sensor	36.3776	26.9364	0.0207
Sensor	44.3754	26.6296	0.0373
Sensor	52.3770	26.4272	0.0451
Sensor	60.3809	26.3302	0.0486
Sensor	68.3848	26.3373	0.0513
Sensor	76.3876	26.4510	0.0437
Sensor	84.3905	26.6685	0.0390
Sensor	92.3873	26.9909	0.0255
Sensor	100.3807	27.4182	0.0060
Sensor	108.3669	27.9507	-0.0218
Sensor	116.3457	28.5869	-0.0625
Sensor	124.3158	29.3280	-0.1003
Sensor	5.1505	35.0797	-0.0981
Sensor	13.0429	34.3637	-0.0605
Sensor	20.9475	33.7504	-0.0275
Sensor	28.8578	33.2411	0.0016
Sensor	36.7733	32.8353	0.0206
Sensor	44.6950	32.5326	0.0360
Sensor	52.6195	32.3343	0.0454
Sensor	60.5447	32.2395	0.0545
Sensor	68.4720	32.2489	0.0569
Sensor	76.3976	32.3636	0.0485
Sensor	84.3221	32.5797	0.0420
Sensor	92.2422	32.9006	0.0253
Sensor	100.1569	33.3264	0.0063
Sensor	108.0660	33.8545	-0.0216
Sensor	115.9689	34.4870	-0.0550
Sensor	123.8632	35.2223	-0.0941
Sensor	6.1909	43.7196	-0.0956
Sensor	13.9718	43.0166	-0.0561
Sensor	21.7614	42.4143	-0.0278
Sensor	29.5585	41.9150	0.0012
Sensor	37.3600	41.5176	0.0214
Sensor	45.1685	41.2225	0.0408
Sensor	52.9780	41.0295	0.0497
Sensor	60.7892	40.9394	0.0558
Sensor	68.6033	40.9509	0.0546
Sensor	76.4145	41.0647	0.0523
Sensor	84.2243	41.2815	0.0398
Sensor	92.0310	41.6013	0.0244
Sensor	99.8321	42.0218	0.0032
Sensor	107.6280	42.5453	-0.0236
Sensor	115.4150	43.1725	-0.0515
Sensor	123.1938	43.8988	-0.0862
Sensor	7.2206	52.3696	-0.0818
Sensor	14.8882	51.6790	-0.0538
Sensor	22.5637	51.0884	-0.0278
Sensor	30.2466	50.5986	-0.0053
Sensor	37.9357	50.2097	0.0217
Sensor	45.6282	49.9212	0.0381
Sensor	53.3263	49.7333	0.0487
Sensor	61.0231	49.6472	0.0523
Sensor	68.7221	49.6605	0.0542
Sensor	76.4205	49.7756	0.0493
Sensor	84.1157	49.9924	0.0400
Sensor	91.8067	50.3095	0.0245
Sensor	99.4950	50.7262	0.0049
Sensor	107.1767	51.2453	-0.0190
Sensor	114.8497	51.8640	-0.0502
Sensor	122.5141	52.5839	-0.0792
Sensor	8.2600	61.0195	-0.0752
Sensor	15.8135	60.3422	-0.0445
Sensor	23.3755	59.7631	-0.0191
Sensor	30.9433	59.2832	0.0047
Sensor	38.5194	58.9022	0.0184
Sensor	46.0991	58.6210	0.0363
Sensor	53.6817	58.4397	0.0444
Sensor	61.2657	58.3558	0.0543
Sensor	68.8499	58.3721	0.0588
Sensor	76.4333	58.4886	0.0524
Sensor	84.0165	58.7030	0.0431
Sensor	91.5918	59.0204	0.0262
Sensor	99.1648	59.4332	0.0064
Sensor	106.7339	59.9463	-0.0165
Sensor	114.2934	60.5596	-0.0409
Sensor	121.8435	61.2707	-0.0701
