#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: dsa
Date: 2022-12-09T21:10:52.340Z
Institute: SFU
Operator: asd
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9983	0.5003	0.0131
Sensor	9.3491	-0.2667	0.0121
Sensor	17.7064	-0.9248	0.0095
Sensor	26.0716	-1.4743	0.0076
Sensor	34.4436	-1.9137	0.0063
Sensor	42.8209	-2.2432	0.0059
Sensor	51.2001	-2.4636	0.0047
Sensor	59.5829	-2.5731	0.0033
Sensor	67.9660	-2.5731	-0.0022
Sensor	76.3484	-2.4638	-0.0021
Sensor	84.7290	-2.2444	0.0049
Sensor	93.1060	-1.9145	0.0072
Sensor	101.4779	-1.4762	0.0062
Sensor	109.8430	-0.9263	0.0069
Sensor	118.2008	-0.2684	0.0095
Sensor	126.5481	0.4998	0.0126
Sensor	43.2667	6.4480	-0.0020
Sensor	51.5385	6.2373	-0.0037
Sensor	59.8062	6.1309	-0.0041
Sensor	4.4441	29.2116	-0.0071
Sensor	12.4181	28.4863	-0.0071
Sensor	20.3988	27.8656	-0.0061
Sensor	28.3853	27.3493	-0.0057
Sensor	36.3794	26.9381	-0.0051
Sensor	44.3781	26.6319	-0.0049
Sensor	52.3796	26.4294	-0.0053
Sensor	60.3838	26.3321	-0.0065
Sensor	68.3875	26.3394	-0.0070
Sensor	76.3911	26.4522	-0.0076
Sensor	84.3923	26.6704	-0.0082
Sensor	92.3901	26.9932	-0.0080
Sensor	100.3824	27.4210	-0.0082
Sensor	108.3688	27.9517	-0.0076
Sensor	116.3492	28.5885	-0.0081
Sensor	124.3179	29.3303	-0.0078
Sensor	5.1503	35.0779	-0.0069
Sensor	13.0472	34.3651	-0.0055
Sensor	20.9507	33.7520	-0.0043
Sensor	28.8609	33.2428	-0.0047
Sensor	36.7778	32.8370	-0.0039
Sensor	44.6991	32.5343	-0.0031
Sensor	52.6219	32.3361	-0.0029
Sensor	60.5490	32.2414	-0.0036
Sensor	68.4766	32.2509	-0.0051
Sensor	76.4022	32.3637	-0.0060
Sensor	84.3255	32.5823	-0.0066
Sensor	92.2466	32.9032	-0.0059
Sensor	100.1624	33.3263	-0.0060
Sensor	108.0699	33.8565	-0.0055
Sensor	115.9728	34.4887	-0.0055
Sensor	123.8652	35.2252	-0.0049
Sensor	6.1859	43.7182	-0.0042
Sensor	13.9712	43.0183	-0.0032
Sensor	21.7625	42.4167	-0.0018
Sensor	29.5589	41.9167	-0.0010
Sensor	37.3605	41.5192	-0.0002
Sensor	45.1689	41.2244	0.0004
Sensor	52.9800	41.0316	0.0001
Sensor	60.7916	40.9415	-0.0012
Sensor	68.6028	40.9536	-0.0022
Sensor	76.4162	41.0666	-0.0028
Sensor	84.2250	41.2835	-0.0030
Sensor	92.0305	41.6035	-0.0032
Sensor	99.8342	42.0253	-0.0023
Sensor	107.6269	42.5472	-0.0023
Sensor	115.4153	43.1737	-0.0021
Sensor	123.1953	43.9018	-0.0016
Sensor	7.2114	52.3717	-0.0006
Sensor	14.8820	51.6850	0.0005
Sensor	22.5597	51.0944	0.0016
Sensor	30.2406	50.6047	0.0025
Sensor	37.9307	50.2153	0.0021
Sensor	45.6230	49.9270	0.0027
Sensor	53.3191	49.7386	0.0025
Sensor	61.0183	49.6516	0.0022
Sensor	68.7155	49.6671	0.0016
Sensor	76.4136	49.7818	0.0013
Sensor	84.1103	49.9974	0.0017
Sensor	91.8009	50.3147	0.0023
Sensor	99.4889	50.7314	0.0024
Sensor	107.1693	51.2508	0.0026
Sensor	114.8426	51.8691	0.0023
Sensor	122.5080	52.5886	0.0043
Sensor	8.2581	61.0185	0.0035
Sensor	15.8151	60.3439	0.0039
Sensor	23.3770	59.7642	0.0041
Sensor	30.9478	59.2843	0.0051
Sensor	38.5216	58.9042	0.0055
Sensor	46.1016	58.6230	0.0057
Sensor	53.6839	58.4406	0.0058
Sensor	61.2670	58.3579	0.0062
Sensor	68.8530	58.3738	0.0058
Sensor	76.4347	58.4895	0.0060
Sensor	84.0180	58.7060	0.0069
Sensor	91.5943	59.0210	0.0070
Sensor	99.1683	59.4350	0.0066
Sensor	106.7344	59.9472	0.0066
Sensor	114.2942	60.5599	0.0066
Sensor	121.8450	61.2723	0.0076
