#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: fas
Date: 2022-06-23T21:06:26.351262Z
Institute: SFU
Operator: a
Instrument Type: Smartscope_Flash_302
Run Number: 5345
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9991	0.4974	0.0158
Sensor	9.3523	-0.2659	0.0200
Sensor	17.7095	-0.9250	0.0179
Sensor	26.0746	-1.4745	0.0095
Sensor	34.4455	-1.9138	0.0130
Sensor	42.8231	-2.2447	0.0064
Sensor	51.2031	-2.4632	0.0085
Sensor	59.5852	-2.5731	0.0106
Sensor	67.9682	-2.5726	0.0158
Sensor	76.3508	-2.4650	0.0146
Sensor	84.7323	-2.2458	0.0169
Sensor	93.1088	-1.9133	0.0236
Sensor	101.4811	-1.4751	0.0217
Sensor	109.8454	-0.9272	0.0177
Sensor	118.2028	-0.2686	0.0159
Sensor	126.5503	0.4999	0.0134
Sensor	43.2674	6.4478	-0.0159
Sensor	51.5392	6.2369	-0.0213
Sensor	59.8068	6.1302	-0.0230
Sensor	4.4437	29.2103	-0.0240
Sensor	12.4178	28.4853	-0.0201
Sensor	20.3982	27.8649	-0.0165
Sensor	28.3858	27.3498	-0.0123
Sensor	36.3781	26.9372	-0.0115
Sensor	44.3806	26.6306	-0.0110
Sensor	52.3813	26.4285	-0.0136
Sensor	60.3832	26.3303	-0.0094
Sensor	68.3872	26.3395	-0.0100
Sensor	76.3925	26.4514	-0.0091
Sensor	84.3929	26.6703	-0.0082
Sensor	92.3902	26.9917	-0.0061
Sensor	100.3820	27.4182	-0.0070
Sensor	108.3709	27.9513	-0.0085
Sensor	116.3498	28.5887	-0.0150
Sensor	124.3183	29.3299	-0.0209
Sensor	5.1489	35.0786	-0.0173
Sensor	13.0453	34.3649	-0.0133
Sensor	20.9499	33.7519	-0.0094
Sensor	28.8609	33.2422	-0.0101
Sensor	36.7743	32.8373	-0.0049
Sensor	44.6965	32.5336	-0.0137
Sensor	52.6218	32.3357	-0.0054
Sensor	60.5487	32.2405	-0.0069
Sensor	68.4747	32.2517	-0.0069
Sensor	76.4003	32.3639	-0.0056
Sensor	84.3245	32.5806	-0.0082
Sensor	92.2454	32.9026	-0.0072
Sensor	100.1630	33.3253	-0.0161
Sensor	108.0683	33.8566	-0.0129
Sensor	115.9719	34.4880	-0.0185
Sensor	123.8627	35.2241	-0.0211
Sensor	6.1890	43.7181	-0.0003
Sensor	13.9745	43.0177	-0.0050
Sensor	21.7639	42.4159	-0.0016
Sensor	29.5596	41.9164	0.0002
Sensor	37.3600	41.5188	-0.0008
Sensor	45.1698	41.2232	0.0025
Sensor	52.9802	41.0307	0.0020
Sensor	60.7921	40.9393	0.0008
Sensor	68.6079	40.9511	-0.0004
Sensor	76.4179	41.0657	-0.0006
Sensor	84.2274	41.2845	-0.0003
Sensor	92.0333	41.6008	-0.0055
Sensor	99.8352	42.0243	-0.0042
Sensor	107.6299	42.5477	-0.0082
Sensor	115.4190	43.1713	-0.0074
Sensor	123.1959	43.8996	-0.0113
Sensor	7.2201	52.3683	-0.0108
Sensor	14.8907	51.6797	-0.0020
Sensor	22.5672	51.0900	-0.0070
Sensor	30.2517	50.6001	0.0008
Sensor	37.9372	50.2105	0.0056
Sensor	45.6306	49.9226	0.0014
Sensor	53.3281	49.7342	0.0038
Sensor	61.0247	49.6469	0.0060
Sensor	68.7239	49.6613	0.0070
Sensor	76.4216	49.7765	0.0088
Sensor	84.1171	49.9937	0.0063
Sensor	91.8121	50.3105	0.0007
Sensor	99.4967	50.7278	-0.0038
Sensor	107.1785	51.2476	0.0023
Sensor	114.8512	51.8641	-0.0033
Sensor	122.5158	52.5840	-0.0054
Sensor	8.2571	61.0188	0.0151
Sensor	15.8169	60.3431	0.0155
Sensor	23.3785	59.7647	0.0197
Sensor	30.9479	59.2843	0.0056
Sensor	38.5181	58.9036	0.0226
Sensor	46.1027	58.6215	0.0127
Sensor	53.6838	58.4406	0.0188
Sensor	61.2685	58.3566	0.0164
Sensor	68.8530	58.3737	0.0119
Sensor	76.4380	58.4888	0.0125
Sensor	84.0172	58.7054	0.0177
Sensor	91.5960	59.0198	0.0163
Sensor	99.1680	59.4353	0.0164
Sensor	106.7356	59.9492	0.0128
Sensor	114.2955	60.5593	0.0092
Sensor	121.8452	61.2722	0.0060
