#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: r1mechsfu
Date: 2022-09-20T15:31:12.340793Z
Institute: TRIUMF
Operator: ps
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9998	0.9970	-0.0831
Sensor	10.3872	0.1452	-0.0628
Sensor	19.7933	-0.5484	-0.0435
Sensor	29.2050	-1.0884	-0.0255
Sensor	38.6236	-1.4749	-0.0108
Sensor	48.0459	-1.7065	0.0001
Sensor	57.4725	-1.7835	0.0091
Sensor	66.8994	-1.7047	0.0115
Sensor	76.3247	-1.4727	0.0135
Sensor	85.7421	-1.0870	0.0093
Sensor	95.1542	-0.5472	0.0011
Sensor	104.5551	0.1463	-0.0133
Sensor	113.9433	0.9942	-0.0308
Sensor	1.9791	9.2913	-0.0650
Sensor	11.2347	8.4557	-0.0450
Sensor	20.4999	7.7737	-0.0275
Sensor	29.7749	7.2439	-0.0121
Sensor	39.0566	6.8671	0.0046
Sensor	48.3439	6.6410	0.0143
Sensor	57.6336	6.5672	0.0224
Sensor	66.9242	6.6484	0.0228
Sensor	76.2105	6.8795	0.0216
Sensor	85.4930	7.2617	0.0171
Sensor	94.7682	7.7961	0.0071
Sensor	104.0320	8.4823	-0.0041
Sensor	113.2846	9.3192	-0.0214
Sensor	2.9598	17.5827	-0.0546
Sensor	12.0767	16.7604	-0.0339
Sensor	21.2077	16.0909	-0.0147
Sensor	30.3473	15.5721	-0.0003
Sensor	39.4933	15.2023	0.0147
Sensor	48.6429	14.9830	0.0255
Sensor	57.7959	14.9132	0.0307
Sensor	66.9509	14.9960	0.0310
Sensor	76.1003	15.2262	0.0260
Sensor	85.2450	15.6064	0.0227
Sensor	94.3855	16.1343	0.0110
Sensor	103.5128	16.8146	-0.0045
Sensor	112.6278	17.6423	-0.0197
Sensor	66.4274	30.1825	0.0367
Sensor	75.3327	30.4005	0.0316
Sensor	84.2312	30.7662	0.0264
Sensor	93.1229	31.2755	0.0095
Sensor	102.0010	31.9329	-0.0011
Sensor	110.8712	32.7332	-0.0176
Sensor	30.1283	32.6701	0.0145
Sensor	38.9973	32.2932	0.0306
Sensor	47.8679	32.0627	0.0372
Sensor	5.7381	41.0320	-0.0232
Sensor	14.4710	40.2531	-0.0100
Sensor	23.2171	39.6202	0.0068
Sensor	31.9696	39.1301	0.0191
Sensor	40.7312	38.7844	0.0289
Sensor	49.4966	38.5815	0.0349
Sensor	33.1374	44.9930	0.0221
Sensor	41.8062	44.6608	0.0240
Sensor	50.4752	44.4749	0.0275
Sensor	59.1442	44.4314	0.0355
Sensor	67.8147	44.5324	0.0323
Sensor	66.1577	46.5317	0.0313
Sensor	74.7961	46.7447	0.0269
Sensor	83.4279	47.0985	0.0192
Sensor	92.0487	47.5929	0.0065
Sensor	100.6632	48.2293	-0.0079
Sensor	109.2642	49.0070	-0.0237
Sensor	8.4899	64.2908	-0.0071
Sensor	16.8432	63.5539	0.0012
Sensor	25.2057	62.9570	0.0108
Sensor	33.5762	62.4971	0.0175
Sensor	41.9533	62.1745	0.0214
Sensor	50.3365	61.9884	0.0237
Sensor	58.7182	61.9400	0.0211
Sensor	67.1032	62.0318	0.0191
Sensor	75.4825	62.2582	0.0128
Sensor	83.8585	62.6211	0.0054
Sensor	92.2269	63.1218	-0.0076
Sensor	100.5872	63.7581	-0.0207
Sensor	108.9347	64.5308	-0.0366
Sensor	8.8511	67.3414	-0.0046
Sensor	17.1537	66.6097	0.0024
Sensor	25.4665	66.0173	0.0112
Sensor	33.7885	65.5616	0.0164
Sensor	42.1136	65.2423	0.0195
Sensor	50.4465	65.0580	0.0193
Sensor	58.7781	65.0110	0.0188
Sensor	67.1120	65.1030	0.0170
Sensor	75.4413	65.3296	0.0105
Sensor	83.7673	65.6915	-0.0002
Sensor	92.0850	66.1899	-0.0094
Sensor	100.3953	66.8234	-0.0221
Sensor	108.6921	67.5934	-0.0377
Sensor	9.8296	75.6343	-0.0047
Sensor	17.9978	74.9167	0.0028
Sensor	26.1730	74.3357	0.0095
Sensor	34.3611	73.8903	0.0146
Sensor	42.5487	73.5787	0.0138
Sensor	50.7439	73.4012	0.0119
Sensor	58.9389	73.3584	0.0086
Sensor	67.1359	73.4519	0.0062
Sensor	75.3289	73.6776	0.0012
Sensor	83.5188	74.0364	-0.0087
Sensor	91.7008	74.5296	-0.0175
Sensor	99.8735	75.1561	-0.0326
Sensor	108.0357	75.9164	-0.0471
Sensor	10.7204	83.5280	-0.0095
Sensor	18.7567	82.8231	-0.0033
Sensor	26.8042	82.2551	-0.0034
Sensor	34.8587	81.8185	0.0031
Sensor	42.9193	81.5140	0.0002
Sensor	50.9853	81.3416	-0.0029
Sensor	59.0496	81.3015	-0.0049
Sensor	67.1176	81.3962	-0.0121
Sensor	75.1795	81.6201	-0.0198
Sensor	83.2404	81.9759	-0.0222
Sensor	91.2910	82.4638	-0.0343
Sensor	99.3340	83.0832	-0.0505
Sensor	107.3654	83.8326	-0.0617
