#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: r1mechtriumf
Date: 2022-09-20T15:33:23.642125Z
Institute: TRIUMF
Operator: ps
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	1.0001	1.0000	-0.0799
Sensor	10.3870	0.1521	-0.0589
Sensor	19.7882	-0.5422	-0.0359
Sensor	29.1993	-1.0822	-0.0177
Sensor	38.6182	-1.4683	-0.0040
Sensor	48.0420	-1.7000	0.0048
Sensor	57.4684	-1.7774	0.0137
Sensor	66.8948	-1.7006	0.0162
Sensor	76.3186	-1.4696	0.0161
Sensor	85.7376	-1.0842	0.0099
Sensor	95.1488	-0.5446	-0.0033
Sensor	104.5499	0.1489	-0.0230
Sensor	113.9386	0.9962	-0.0404
Sensor	1.9800	9.2899	-0.0638
Sensor	11.2310	8.4568	-0.0420
Sensor	20.4961	7.7754	-0.0204
Sensor	29.7711	7.2457	-0.0026
Sensor	39.0534	6.8679	0.0089
Sensor	48.3408	6.6422	0.0198
Sensor	57.6306	6.5685	0.0262
Sensor	66.9203	6.6452	0.0263
Sensor	76.2075	6.8756	0.0218
Sensor	85.4898	7.2581	0.0147
Sensor	94.7644	7.7923	0.0030
Sensor	104.0292	8.4785	-0.0115
Sensor	113.2813	9.3162	-0.0320
Sensor	2.9585	17.5799	-0.0523
Sensor	12.0736	16.7619	-0.0318
Sensor	21.2026	16.0931	-0.0127
Sensor	30.3412	15.5739	0.0033
Sensor	39.4873	15.2044	0.0146
Sensor	48.6380	14.9846	0.0247
Sensor	57.7913	14.9147	0.0307
Sensor	66.9444	14.9946	0.0312
Sensor	76.0950	15.2243	0.0272
Sensor	85.2405	15.6039	0.0177
Sensor	94.3786	16.1331	0.0070
Sensor	103.5069	16.8117	-0.0093
Sensor	112.6227	17.6397	-0.0244
Sensor	66.4285	30.1818	0.0347
Sensor	75.3477	30.4000	0.0299
Sensor	84.2640	30.7661	0.0231
Sensor	93.1730	31.2785	0.0084
Sensor	102.0723	31.9370	-0.0064
Sensor	110.9597	32.7414	-0.0229
Sensor	30.1284	32.6700	0.0122
Sensor	39.0119	32.2940	0.0226
Sensor	47.9018	32.0638	0.0325
Sensor	5.7385	41.0299	-0.0289
Sensor	14.4880	40.2527	-0.0098
Sensor	23.2507	39.6191	0.0037
Sensor	32.0228	39.1294	0.0163
Sensor	40.8016	38.7836	0.0270
Sensor	49.5849	38.5820	0.0329
Sensor	33.1385	44.9901	0.0171
Sensor	41.8194	44.6619	0.0264
Sensor	50.5061	44.4762	0.0308
Sensor	59.1947	44.4328	0.0333
Sensor	67.8828	44.5304	0.0330
Sensor	66.1584	46.5300	0.0320
Sensor	74.8096	46.7432	0.0282
Sensor	83.4577	47.0985	0.0194
Sensor	92.0989	47.5953	0.0063
Sensor	100.7307	48.2339	-0.0087
Sensor	109.3509	49.0141	-0.0250
Sensor	8.4899	64.2917	-0.0153
Sensor	16.8576	63.5564	-0.0047
Sensor	25.2377	62.9585	0.0072
Sensor	33.6267	62.4983	0.0162
Sensor	42.0219	62.1756	0.0198
Sensor	50.4213	61.9907	0.0240
Sensor	58.8228	61.9421	0.0226
Sensor	67.2236	62.0329	0.0224
Sensor	75.6221	62.2616	0.0156
Sensor	84.0154	62.6279	0.0078
Sensor	92.4018	63.1319	-0.0019
Sensor	100.7787	63.7735	-0.0198
Sensor	109.1440	64.5522	-0.0384
Sensor	8.8486	67.3416	-0.0171
Sensor	17.1661	66.6095	-0.0031
Sensor	25.4961	66.0140	0.0064
Sensor	33.8348	65.5553	0.0135
Sensor	42.1799	65.2334	0.0195
Sensor	50.5291	65.0485	0.0220
Sensor	58.8805	64.9989	0.0211
Sensor	67.2311	65.0880	0.0236
Sensor	75.5795	65.3140	0.0138
Sensor	83.9229	65.6770	0.0063
Sensor	92.2592	66.1768	-0.0081
Sensor	100.5862	66.8134	-0.0218
Sensor	108.9016	67.5864	-0.0414
Sensor	9.8317	75.6333	-0.0183
Sensor	18.0147	74.9202	-0.0052
Sensor	26.2083	74.3397	0.0024
Sensor	34.4088	73.8936	0.0116
Sensor	42.6187	73.5824	0.0151
Sensor	50.8293	73.4057	0.0133
Sensor	59.0434	73.3622	0.0136
Sensor	67.2569	73.4551	0.0116
Sensor	75.4680	73.6827	0.0053
Sensor	83.6742	74.0449	-0.0033
Sensor	91.8732	74.5417	-0.0157
Sensor	100.0631	75.1730	-0.0289
Sensor	108.2415	75.9386	-0.0513
Sensor	10.8100	83.5620	-0.0239
Sensor	18.8627	82.8623	-0.0114
Sensor	26.9259	82.2946	-0.0007
Sensor	34.9973	81.8594	0.0051
Sensor	43.0747	81.5566	0.0058
Sensor	51.1560	81.3864	0.0066
Sensor	59.2390	81.3488	0.0023
Sensor	67.3216	81.4439	-0.0005
Sensor	75.4014	81.6714	-0.0067
Sensor	83.4765	82.0313	-0.0192
Sensor	91.5445	82.5240	-0.0252
Sensor	99.6035	83.1488	-0.0451
Sensor	107.6511	83.9058	-0.0675
