#---Header
EC or Barrel: EC
Module type: R4M1
Module ref. Number: 20USE4L0000002
Date: 2022-01-18T09:25:12.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	86.6483	-0.0000	0.0159
Sensor	1.0012	1.0196	0.0184
Sensor	9.4694	0.6381	0.0119
Sensor	17.9416	0.3491	0.0099
Sensor	26.4160	0.1429	0.0101
Sensor	34.8923	0.0191	0.0095
Sensor	43.3690	-0.0219	0.0131
Sensor	51.8461	0.0198	0.0139
Sensor	60.3220	0.1442	0.0182
Sensor	68.7965	0.3514	0.0207
Sensor	77.2686	0.6412	0.0225
Sensor	85.7375	1.0137	0.0361
Sensor	1.6200	9.9800	-0.0010
Sensor	10.0012	9.6140	-0.0025
Sensor	18.3858	9.3297	-0.0032
Sensor	26.7724	9.1273	-0.0040
Sensor	35.1609	9.0067	-0.0047
Sensor	43.5499	8.9679	-0.0026
Sensor	51.9389	9.0109	-0.0037
Sensor	60.3274	9.1359	-0.0005
Sensor	68.7140	9.3426	0.0027
Sensor	77.0982	9.6311	0.0041
Sensor	85.4792	10.0015	0.0101
Sensor	2.2400	18.9600	-0.0034
Sensor	10.5330	18.5898	-0.0035
Sensor	18.8297	18.3104	-0.0062
Sensor	27.1288	18.1118	-0.0088
Sensor	35.4293	17.9942	-0.0117
Sensor	43.7306	17.9576	-0.0099
Sensor	52.0319	18.0021	-0.0100
Sensor	60.3323	18.1275	-0.0085
Sensor	68.6313	18.3339	-0.0058
Sensor	76.9277	18.6211	-0.0021
Sensor	85.2209	18.9893	0.0065
Sensor	35.6399	26.8899	-0.0130
Sensor	42.1396	26.8465	-0.0131
Sensor	48.6496	26.8626	-0.0127
Sensor	55.1592	26.9289	-0.0120
Sensor	61.6780	27.0451	-0.0108
Sensor	68.1859	27.2120	-0.0070
Sensor	74.6924	27.4293	-0.0076
Sensor	81.1968	27.6971	-0.0023
Sensor	4.7101	54.8699	0.0095
Sensor	12.6384	54.5226	0.0047
Sensor	20.5702	54.2624	-0.0020
Sensor	28.5042	54.0793	-0.0027
Sensor	36.4397	53.9737	-0.0033
Sensor	44.3756	53.9453	-0.0030
Sensor	52.3115	53.9941	-0.0020
Sensor	60.2467	54.1201	-0.0010
Sensor	68.1801	54.3235	0.0012
Sensor	76.1113	54.6041	0.0002
Sensor	84.0391	54.9621	0.0039
Sensor	5.3404	63.8592	0.0002
Sensor	13.1714	63.5181	-0.0036
Sensor	21.0158	63.2626	-0.0079
Sensor	28.8627	63.0933	-0.0094
Sensor	36.7105	62.9906	-0.0108
Sensor	44.5590	62.9644	-0.0128
Sensor	52.4072	63.0145	-0.0138
Sensor	60.2547	63.1411	-0.0145
Sensor	68.1005	63.3441	-0.0133
Sensor	75.9438	63.6236	-0.0111
Sensor	83.7843	63.9794	-0.0086
Sensor	5.9502	72.8300	0.0018
Sensor	13.7040	72.5037	-0.0027
Sensor	21.4607	72.2529	-0.0037
Sensor	29.2197	72.0777	-0.0044
Sensor	36.9798	71.9781	-0.0090
Sensor	44.7404	71.9542	-0.0093
Sensor	52.5012	72.0056	-0.0103
Sensor	60.2609	72.1327	-0.0113
Sensor	68.0191	72.3353	-0.0095
Sensor	75.7749	72.6136	-0.0083
Sensor	83.5276	72.9673	-0.0054
Sensor	6.5700	81.8102	-0.0013
Sensor	14.2266	81.4900	-0.0001
Sensor	21.8959	81.2441	-0.0041
Sensor	29.5671	81.0727	-0.0041
Sensor	37.2396	80.9761	-0.0054
Sensor	44.9128	80.9542	-0.0058
Sensor	52.5857	81.0071	-0.0097
Sensor	60.2580	81.1347	-0.0093
Sensor	67.9284	81.3371	-0.0081
Sensor	75.5965	81.6142	-0.0032
Sensor	83.2616	81.9658	-0.0041
Sensor	7.1800	90.7900	0.0011
Sensor	14.7589	90.4749	-0.0004
Sensor	22.3406	90.2335	-0.0022
Sensor	29.9244	90.0660	-0.0008
Sensor	37.5092	89.9724	-0.0055
Sensor	45.0947	89.9527	-0.0048
Sensor	52.6800	90.0068	-0.0028
Sensor	60.2644	90.1348	-0.0042
Sensor	67.8474	90.3366	-0.0043
Sensor	75.4278	90.6123	-0.0019
Sensor	83.0053	90.9618	-0.0006
Sensor	7.8001	99.7699	0.0032
Sensor	15.2916	99.4604	0.0016
Sensor	22.7857	99.2237	0.0005
Sensor	30.2817	99.0602	-0.0013
Sensor	37.7793	98.9697	-0.0015
Sensor	45.2769	98.9522	0.0016
Sensor	52.7747	99.0076	0.0005
Sensor	60.2715	99.1362	0.0016
Sensor	67.7665	99.3377	0.0019
Sensor	75.2595	99.6121	0.0011
Sensor	82.7493	99.9595	0.0018
Sensor	8.4194	108.7302	0.0282
Sensor	15.8137	108.4270	0.0219
Sensor	23.2205	108.1951	0.0180
Sensor	30.6291	108.0355	0.0153
Sensor	38.0487	107.9474	0.0126
Sensor	45.4590	107.9320	0.0130
Sensor	52.8692	107.9889	0.0151
Sensor	60.2784	108.1178	0.0162
Sensor	67.6859	108.3189	0.0134
Sensor	75.0913	108.5922	0.0158
Sensor	82.4935	108.9376	0.0200
