#---Header
EC or Barrel: EC
Module type: R5M0
Module ref. Number: 20USE5R0000001
Date: 2022-02-24T13:54:42.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.0000	-0.0000	0.0401
Sensor	0.9903	1.0008	0.0478
Sensor	10.4675	0.5814	0.0350
Sensor	19.9581	0.2551	0.0262
Sensor	29.4518	0.0217	0.0168
Sensor	38.9471	-0.1184	0.0102
Sensor	48.4434	-0.1650	0.0049
Sensor	57.9396	-0.1184	0.0083
Sensor	67.4349	0.0213	0.0068
Sensor	76.9285	0.2545	0.0086
Sensor	86.4192	0.5811	0.0137
Sensor	95.9063	1.0007	0.0210
Sensor	1.4802	8.0808	0.0239
Sensor	10.8880	7.6661	0.0170
Sensor	20.3090	7.3433	0.0092
Sensor	29.7329	7.1132	-0.0031
Sensor	39.1585	6.9754	-0.0083
Sensor	48.5851	6.9304	-0.0134
Sensor	58.0115	6.9781	-0.0116
Sensor	67.4373	7.1185	-0.0073
Sensor	76.8610	7.3512	-0.0053
Sensor	86.2820	7.6766	-0.0013
Sensor	95.6994	8.0947	0.0020
Sensor	1.9897	15.1693	0.0189
Sensor	11.3277	14.7590	0.0125
Sensor	20.6792	14.4400	0.0041
Sensor	30.0332	14.2129	-0.0066
Sensor	39.3890	14.0777	-0.0152
Sensor	48.7458	14.0345	-0.0155
Sensor	58.1024	14.0831	-0.0150
Sensor	67.4583	14.2238	-0.0118
Sensor	2.4896	22.2488	0.0137
Sensor	11.7580	21.8430	0.0096
Sensor	21.0404	21.5376	0.0024
Sensor	30.3248	21.3135	-0.0089
Sensor	39.6110	21.1807	-0.0186
Sensor	48.8980	21.1391	-0.0212
Sensor	58.1850	21.1889	-0.0158
Sensor	67.4711	21.3299	-0.0106
Sensor	2.9600	29.3300	0.0127
Sensor	12.1588	28.9287	0.0061
Sensor	21.3709	28.6173	-0.0014
Sensor	3.4396	36.4109	0.0060
Sensor	12.5687	36.0142	-0.0006
Sensor	21.7110	35.7065	-0.0062
Sensor	22.0294	39.8702	-0.0102
Sensor	31.1235	39.6559	-0.0166
Sensor	40.2293	39.5303	-0.0215
Sensor	49.3358	39.4942	-0.0192
Sensor	58.4520	39.5468	-0.0130
Sensor	67.5574	39.6897	-0.0115
Sensor	76.6609	39.9219	-0.0130
Sensor	85.7619	40.2438	-0.0072
Sensor	94.8592	40.6548	0.0030
Sensor	5.0004	58.9916	-0.0102
Sensor	13.9077	58.6090	-0.0142
Sensor	22.8281	58.3135	-0.0157
Sensor	31.7511	58.1057	-0.0173
Sensor	40.6755	57.9857	-0.0156
Sensor	49.6008	57.9530	-0.0155
Sensor	58.5259	58.0083	-0.0129
Sensor	67.4501	58.1513	-0.0105
Sensor	76.3724	58.3820	-0.0088
Sensor	85.2921	58.7002	-0.0037
Sensor	94.2081	59.1060	0.0022
Sensor	5.4901	65.8203	-0.0096
Sensor	14.3302	65.4420	-0.0139
Sensor	23.1835	65.1501	-0.0153
Sensor	32.0391	64.9452	-0.0154
Sensor	40.8964	64.8275	-0.0153
Sensor	49.7544	64.7965	-0.0127
Sensor	58.6123	64.8528	-0.0123
Sensor	67.4691	64.9961	-0.0105
Sensor	76.3241	65.2264	-0.0076
Sensor	85.1766	65.5437	-0.0022
Sensor	94.0253	65.9479	0.0040
Sensor	5.9405	72.6516	-0.0087
Sensor	14.7135	72.2775	-0.0117
Sensor	23.4995	71.9894	-0.0127
Sensor	32.2880	71.7875	-0.0157
Sensor	41.0781	71.6718	-0.0148
Sensor	49.8688	71.6427	-0.0099
