#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000016
Date: 2022-03-08T13:55:58.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9902	1.0013	0.0254
Sensor	9.3219	0.2343	0.0148
Sensor	17.6725	-0.4246	0.0137
Sensor	26.0312	-0.9738	0.0106
Sensor	34.3962	-1.4135	0.0074
Sensor	42.7664	-1.7436	0.0031
Sensor	51.1401	-1.9639	0.0033
Sensor	59.5161	-2.0746	0.0082
Sensor	43.2689	6.4502	-0.0097
Sensor	51.5254	6.2367	-0.0113
Sensor	59.7938	6.1303	-0.0102
Sensor	4.4303	29.2112	0.0067
Sensor	12.3895	28.8408	-0.0028
Sensor	20.3627	28.5736	-0.0026
Sensor	28.3387	28.4109	0.0007
Sensor	36.3162	28.3529	-0.0001
Sensor	44.2937	28.3993	-0.0002
Sensor	52.2698	28.5503	-0.0057
Sensor	60.2434	28.8058	-0.0046
Sensor	68.2130	29.1658	-0.0072
Sensor	76.1770	29.6305	-0.0079
Sensor	84.1344	30.1992	-0.0093
Sensor	92.0836	30.8723	0.0005
Sensor	100.0233	31.6495	0.0044
Sensor	107.9521	32.5306	0.0081
Sensor	115.8687	33.5156	0.0115
Sensor	123.7717	34.6043	0.0186
Sensor	5.1403	35.0813	0.0060
Sensor	13.0249	34.3659	-0.0022
Sensor	20.9280	33.7525	-0.0050
Sensor	28.8382	33.2429	-0.0072
Sensor	36.7547	32.8371	-0.0094
Sensor	44.6757	32.5350	-0.0133
Sensor	52.5999	32.3368	-0.0148
Sensor	60.5261	32.2425	-0.0148
Sensor	68.4530	32.2521	-0.0135
Sensor	76.3789	32.3655	-0.0099
Sensor	84.3027	32.5827	-0.0091
Sensor	92.2229	32.9039	-0.0034
Sensor	100.1384	33.3289	-0.0002
Sensor	108.0474	33.8576	0.0066
Sensor	115.9490	34.4898	0.0130
Sensor	123.8512	35.2243	0.0190
Sensor	6.1911	43.7298	0.0102
Sensor	13.9612	43.0173	0.0036
Sensor	21.7508	42.4155	0.0001
Sensor	29.5475	41.9158	-0.0053
Sensor	37.3501	41.5184	-0.0090
Sensor	45.1572	41.2233	-0.0118
Sensor	52.9677	41.0305	-0.0122
Sensor	60.7799	40.9401	-0.0156
Sensor	68.5925	40.9521	-0.0131
Sensor	76.4045	41.0665	-0.0109
Sensor	84.2140	41.2833	-0.0085
Sensor	92.0204	41.6024	-0.0094
Sensor	99.8218	42.0239	-0.0009
Sensor	107.6170	42.5476	0.0034
Sensor	115.4045	43.1732	0.0094
Sensor	123.1834	43.9011	0.0145
Sensor	7.2200	52.3701	0.0128
Sensor	14.8778	51.6802	0.0085
Sensor	22.5538	51.0896	0.0021
Sensor	30.2368	50.5997	-0.0030
Sensor	37.9254	50.2106	-0.0079
Sensor	45.6186	49.9223	-0.0108
Sensor	53.3150	49.7347	-0.0134
Sensor	61.0130	49.6482	-0.0152
Sensor	68.7115	49.6623	-0.0136
Sensor	76.4093	49.7777	-0.0144
Sensor	84.1048	49.9938	-0.0116
Sensor	91.7969	50.3107	-0.0102
Sensor	99.4841	50.7285	-0.0063
Sensor	107.1652	51.2470	-0.0012
Sensor	114.8389	51.8659	0.0058
Sensor	122.5037	52.5857	0.0144
Sensor	8.2600	61.0200	0.0308
Sensor	15.8029	60.3333	0.0223
Sensor	23.3653	59.7543	0.0172
Sensor	30.9444	59.2729	0.0108
Sensor	38.5192	58.8922	0.0043
Sensor	46.0983	58.6108	0.0005
Sensor	53.6805	58.4286	-0.0033
Sensor	61.2645	58.3461	-0.0051
Sensor	68.8491	58.3628	-0.0061
Sensor	76.4325	58.4790	-0.0046
Sensor	84.0138	58.6947	-0.0056
Sensor	91.5917	59.0095	-0.0001
Sensor	99.1648	59.4236	0.0053
Sensor	106.7318	59.9371	0.0080
Sensor	114.2915	60.5497	0.0114
Sensor	121.8424	61.2612	0.0268
