#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: r2
Date: 2022-12-09T22:57:49.630Z
Institute: SFU
Operator: ar
Instrument type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1998	23.2154
H_R2H0_P2	124.2117	25.8696
PB_P1	81.8884	10.5147
PB_P2	122.3761	1.0971
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2083	29.7327	0.0002
Sensor	1	119.7501	29.8576	-0.0002
Sensor	1	0.2938	0.1587	-0.0001
Sensor	1	127.2913	0.1759	0.0001
ABC_R2H0_0	2	124.2027	25.8664	0.3562
ABC_R2H0_0	2	124.5278	23.3163	0.3591
ABC_R2H0_0	2	115.7155	22.5401	0.3653
ABC_R2H0_0	2	115.5746	25.0493	0.3681
ABC_R2H0_1	2	114.1381	24.9392	0.3708
ABC_R2H0_1	2	114.3985	22.3794	0.3678
ABC_R2H0_1	2	105.6009	21.7484	0.3732
ABC_R2H0_1	2	105.5168	24.2759	0.3745
ABC_R2H0_2	2	104.0661	24.1923	0.3748
ABC_R2H0_2	2	104.2828	21.6168	0.3745
ABC_R2H0_2	2	95.4766	21.1318	0.3751
ABC_R2H0_2	2	95.4476	23.7011	0.3768
ABC_R2H0_3	2	93.9815	23.6126	0.3782
ABC_R2H0_3	2	94.1784	21.0737	0.3764
ABC_R2H0_3	2	85.3528	20.7015	0.3781
ABC_R2H0_3	2	85.3562	23.2702	0.3834
ABC_R2H0_4	2	83.8957	23.2068	0.3797
ABC_R2H0_4	2	84.0240	20.6055	0.3780
ABC_R2H0_4	2	75.2008	20.4332	0.3755
ABC_R2H0_4	2	75.2492	22.9992	0.3761
ABC_R2H0_5	2	73.7799	22.9438	0.3776
ABC_R2H0_5	2	73.8885	20.3650	0.3767
ABC_R2H0_5	2	65.0573	20.3207	0.3739
ABC_R2H0_5	2	65.1352	22.8631	0.3791
ABC_R2H0_6	2	63.6829	22.8720	0.3765
ABC_R2H0_6	2	63.7412	20.2977	0.3739
ABC_R2H0_6	2	54.9102	20.3914	0.3763
ABC_R2H0_6	2	55.0294	22.9371	0.3828
ABC_R2H0_7	2	53.5603	22.9485	0.3837
ABC_R2H0_7	2	53.5767	20.3523	0.3784
ABC_R2H0_7	2	44.7519	20.6147	0.3806
ABC_R2H0_7	2	44.9267	23.1544	0.3840
ABC_R2H0_8	2	43.4528	23.1923	0.3852
ABC_R2H0_8	2	43.4246	20.6153	0.3799
ABC_R2H0_8	2	34.6052	21.0121	0.3792
ABC_R2H0_8	2	34.8079	23.5414	0.3849
ABC_R2H0_9	2	33.3476	23.6115	0.3829
ABC_R2H0_9	2	33.2684	21.0464	0.3801
ABC_R2H0_9	2	24.4637	21.5679	0.3847
ABC_R2H0_9	2	24.7136	24.0991	0.3844
ABC_R2H0_10	2	23.2353	24.1927	0.3829
ABC_R2H0_10	2	23.1365	21.6300	0.3832
ABC_R2H0_10	2	14.3232	22.3090	0.3850
ABC_R2H0_10	2	14.5742	24.8352	0.3889
ABC_R2H0_11	2	13.1356	24.9524	0.3930
ABC_R2H0_11	2	12.9823	22.3698	0.3904
ABC_R2H0_11	2	4.1883	23.1987	0.4086
ABC_R2H0_11	2	4.4911	25.7472	0.4112
HCC_R2H0_2	2	25.4779	9.4177	0.3587
HCC_R2H0_2	2	25.6908	4.7939	0.3601
HCC_R2H0_2	2	19.7695	4.6512	0.3749
HCC_R2H0_2	2	19.6313	9.1510	0.3625
HCC_R2H0_3	2	15.0939	13.9987	0.3692
HCC_R2H0_3	2	15.3075	9.4001	0.3665
HCC_R2H0_3	2	9.4158	9.2566	0.3717
HCC_R2H0_3	2	9.2515	13.7623	0.3731
H_R2H0_0	2	2.5394	8.2772	0.3608
H_R2H0_0	2	2.6256	9.7832	0.3542
H_R2H0_0	2	2.7525	11.0239	0.3520
H_R2H0_0	2	3.1342	13.5056	0.3505
H_R2H0_1	2	83.8904	12.6395	0.4102
H_R2H0_1	2	87.1303	12.7772	0.4122
H_R2H0_1	2	87.9060	12.8166	0.4102
H_R2H0_1	2	91.1166	12.9627	0.4034
H_R2H0_2	2	115.1722	16.1906	0.3767
H_R2H0_2	2	115.5578	16.6208	0.3720
H_R2H0_2	2	120.0048	16.1190	0.3721
H_R2H0_2	2	120.4915	16.6690	0.3695
PB_1	2	123.5940	1.4327	0.4284
PB_1	2	123.5894	1.4332	0.4223
PB_1	2	123.2608	7.0980	0.3542
PB_1	2	123.4331	12.7127	0.2244
PB_2	2	109.6835	11.8186	0.2408
PB_3	2	83.2114	10.1781	0.4440
PB_3	2	86.7251	10.4493	0.4582
PB_3	2	87.6795	10.4848	0.4530
PB_3	2	90.8044	10.6081	0.4081
PB_4	2	86.9721	3.9493	0.4831
PB_4	2	87.4087	-1.0233	0.4908
PB_4	2	84.6624	-1.1976	0.5018
PB_4	2	84.4438	3.7818	0.5133
PB_5	2	60.2933	2.8804	0.4546
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1090	5.7805	2.8388
C2	4	117.8780	9.2529	2.7863
C3	4	103.9997	10.0103	2.8464
C4	4	104.4873	1.4793	2.9163
Shield	4	63.1644	-1.4259	5.5967
Shield	4	68.5391	-0.9604	5.5518
Shield	4	76.5587	-0.8404	5.6306
Shield	4	63.0845	5.5379	5.5406
Shield	4	72.1001	5.7209	5.3860
Shield	4	76.5974	5.2762	5.4952
