#---Header
EC or Barrel: EC
Module type: R4M1
Module ref. Number: fas
Date: 2023-01-23T18:39:30.476Z
Institute: SFU
Operator: fds
Instrument type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R4H1_P1	4.5456	47.0353
H_R4H1_P2	83.8700	49.6773
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	85.2307	31.8399	-0.0029
Sensor	1	84.3944	52.8852	0.0017
Sensor	1	78.3039	52.7847	0.0015
Sensor	1	72.3531	53.0636	-0.0012
Sensor	1	61.6378	53.0548	0.0025
Sensor	1	46.9765	53.3042	0.0015
Sensor	1	35.2013	53.5760	-0.0025
Sensor	1	26.6034	53.7238	-0.0027
Sensor	1	7.1181	54.4073	-0.0000
Sensor	1	5.1874	25.6281	0.0018
Sensor	1	18.6420	24.7078	0.0007
Sensor	1	32.8396	23.8574	-0.0004
ABC_R4H1_3	2	83.8637	49.6631	0.3341
ABC_R4H1_3	2	83.9896	47.1023	0.3318
ABC_R4H1_3	2	75.2293	46.7437	0.3490
ABC_R4H1_3	2	75.1561	49.2816	0.3466
ABC_R4H1_4	2	73.8150	49.2315	0.3565
ABC_R4H1_4	2	73.8904	46.6733	0.3545
ABC_R4H1_4	2	65.1418	46.4080	0.3379
ABC_R4H1_4	2	65.0738	48.9465	0.3354
ABC_R4H1_5	2	63.7585	48.9021	0.3435
ABC_R4H1_5	2	63.8096	46.3469	0.3405
ABC_R4H1_5	2	55.0382	46.2024	0.3504
ABC_R4H1_5	2	55.0192	48.7487	0.3501
ABC_R4H1_6	2	53.6768	48.7410	0.3533
ABC_R4H1_6	2	53.6956	46.1582	0.3508
ABC_R4H1_6	2	44.9363	46.1093	0.3478
ABC_R4H1_6	2	44.9503	48.6696	0.3516
ABC_R4H1_7	2	43.6155	48.6580	0.3542
ABC_R4H1_7	2	43.6156	46.0886	0.3504
ABC_R4H1_7	2	34.8328	46.1618	0.3514
ABC_R4H1_7	2	34.8726	48.7034	0.3471
ABC_R4H1_8	2	33.5430	48.7204	0.3525
ABC_R4H1_8	2	33.5051	46.1552	0.3515
ABC_R4H1_8	2	24.7451	46.3247	0.3542
ABC_R4H1_8	2	24.8127	48.8751	0.3507
ABC_R4H1_9	2	23.4585	48.9039	0.3563
ABC_R4H1_9	2	23.3998	46.3274	0.3571
ABC_R4H1_9	2	14.6406	46.6103	0.3523
ABC_R4H1_9	2	14.7386	49.1647	0.3488
ABC_R4H1_10	2	13.3904	49.2093	0.3516
ABC_R4H1_10	2	13.2962	46.6340	0.3545
ABC_R4H1_10	2	4.5367	47.0230	0.3639
ABC_R4H1_10	2	4.6738	49.5747	0.3568
HCC_R4H1_2	2	22.4881	34.6426	0.3006
HCC_R4H1_2	2	22.5749	28.0611	0.3237
HCC_R4H1_2	2	28.2407	29.3442	0.3151
HCC_R4H1_2	2	28.2358	33.4280	0.3020
HCC_R4H1_3	2	10.9820	38.6420	0.3112
HCC_R4H1_3	2	11.0800	32.0956	0.3100
HCC_R4H1_3	2	16.7847	33.3853	0.3059
HCC_R4H1_3	2	16.7870	37.4050	0.3101
H_R4H1_0	2	3.9767	36.0817	0.3157
H_R4H1_0	2	3.8754	34.5924	0.3208
H_R4H1_0	2	3.7071	32.0858	0.3256
H_R4H1_0	2	3.6207	30.8430	0.3363
H_R4H1_1	2	84.6998	32.5230	0.3680
H_R4H1_1	2	84.5768	36.5199	0.3012
H_R4H1_1	2	84.5186	37.9451	0.2889
H_R4H1_1	2	84.4915	39.3618	0.2901
