Feature Type,Feature Label,Feature ID,Element,Actual,Nominal,Deviat.(TP Dev),Up Tol.(TP Tol),Low Tol.,Pass/Fail
Point,PB_P1,12,Coord. X,51.810443,51.79,0.020443,0.1,-0.1,PASS
Point,PB_P1,12,Coord. Y,-37.668293,-37.67,0.001707,0.3,-0.3,PASS
Point,PB_P1,12,Coord. Z,0.352335,0.39,-0.037665,0.04,-0.04,PASS
Point,PB_P2,13,Coord. X,95.428485,95.44,-0.011515,0.1,-0.1,PASS
Point,PB_P2,13,Coord. Y,-21.134475,-21.13,-0.004475,0.3,-0.3,PASS
Point,PB_P2,13,Coord. Z,0.365562,0.39,-0.024438,0.04,-0.04,PASS
Point,PB_1,14,Coord. X,93.073177,0,93.073177,,,
Point,PB_1,14,Coord. Y,-27.327869,0,-27.327869,,,
Point,PB_1,14,Coord. Z,0.387806,0.39,-0.002194,0.04,-0.04,PASS
Point,PB_2,15,Coord. X,80.889481,0,80.889481,,,
Point,PB_2,15,Coord. Y,-38.812343,0,-38.812343,,,
Point,PB_2,15,Coord. Z,0.454438,0.39,0.064438,0.04,-0.04,FAIL
Point,PB_3,16,Coord. X,56.083027,0,56.083027,,,
Point,PB_3,16,Coord. Y,-38.020003,0,-38.020003,,,
Point,PB_3,16,Coord. Z,0.357242,0.39,-0.032758,0.04,-0.04,PASS
Point,PB_4,17,Coord. X,57.22166,0,57.22166,,,
Point,PB_4,17,Coord. Y,-27.782745,0,-27.782745,,,
Point,PB_4,17,Coord. Z,0.388018,0.39,-0.001982,0.04,-0.04,PASS
Point,Shield,18,Coord. X,40.45428,0,40.45428,,,
Point,Shield,18,Coord. Y,-29.796885,0,-29.796885,,,
Point,Shield,18,Coord. Z,5.496082,5.7,-0.203918,0.001,0,FAIL
Point,PB_5,19,Coord. X,30.871184,0,30.871184,,,
Point,PB_5,19,Coord. Y,-29.800763,0,-29.800763,,,
Point,PB_5,19,Coord. Z,0.510305,0.39,0.120305,0.04,-0.04,FAIL
Point,H_R5H0_P1,22,Coord. X,4.975048,5,-0.024952,0.1,-0.1,PASS
